"region","species","type","current_status","short_trend","short_trend_cat","long_trend","long_trend_cat","current_abundance","current_abundance_year","average_abundance","previous_gen_abundance","gen_length","nyears","rangeyears"
"Vancouver Island & Mainland Inlets","Sockeye","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,5,NA,NA
"Vancouver Island & Mainland Inlets","Steelhead","Spawners",NA,NA,"",NA,"",NA,NA,NA,NA,5,NA,NA
"Vancouver Island & Mainland Inlets","Steelhead","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,5,NA,NA
"Fraser","Chinook","Spawners",-0.05630974672891,-0.0173544474811265,"arrow-down",-0.00120310549952418,"arrows-left-right",242717.37254936,2022,257200.25369345,237086.786212109,5,39,"1984-2022"
"Fraser","Chinook","Run Size",-0.00680496079741657,-0.0197837419777601,"arrow-down",0.00165960630715434,"arrows-left-right",304947.821646743,2022,307037.197740717,290613.743000508,5,39,"1984-2022"
"Fraser","Chum","Spawners",1.5447705936412,0.0264171362487216,"arrows-left-right",0.0528916744855474,"arrow-up",1152348.59582757,2020,452830.05026348,1804977.64608518,4,68,"1953-2020"
"Fraser","Chum","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,4,NA,NA
"Fraser","Coho","Spawners",0.780462516296857,0.0449661423364116,"arrows-left-right",-0.0161247371762233,"arrow-down",67234.491552265,2022,37762.3740667703,29030.2553909447,4,39,"1984-2022"
"Fraser","Coho","Run Size",0.219415234828683,0.0449902508800339,"arrows-left-right",-0.0514488296690001,"arrow-down",79322.2611786376,2022,65049.4260798551,33280.0089069003,4,39,"1984-2022"
"Fraser","Pink","Spawners",1.10270086083926,0.104813950565539,"arrows-left-right",0.0357063426000883,"arrow-up",9576629,2023,4554441.9457638,7827445,2,33,"1959-2023"
"Fraser","Pink","Run Size",0.120351176167728,0.104662340643214,"arrows-left-right",0.0113119839250235,"arrows-left-right",10520844,2023,9390666.2694706,8107514,2,33,"1959-2023"
"Fraser","Sockeye","Spawners",0.145368072210895,-0.112830074582074,"arrow-down",0.00977433474111011,"arrow-up",1223557.8436962,2023,1068266.06519106,873282.603627468,4,131,"1893-2023"
"Fraser","Sockeye","Run Size",-0.611715855630613,-0.141089378423488,"arrow-down",-0.000179442624020032,"arrows-left-right",1812885.58515664,2023,4668966.30069958,1623599.11122132,4,131,"1893-2023"
"Fraser","Steelhead","Spawners",-0.819716164341646,-0.103435201515757,"arrow-down",-0.0114770136679661,"arrows-left-right",296.347572854766,2021,1643.78338064849,1220.01724335372,5,50,"1972-2021"
"Fraser","Steelhead","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,5,NA,NA
