"","region","stream_name_pse","sppSum"
"Central Coast-EVELYN CREEK",Central Coast,EVELYN CREEK,11917.9140861241
"Central Coast-EVINRUDE CREEK",Central Coast,EVINRUDE CREEK,1747.76086956522
"Central Coast-FALSE STEWART CREEK",Central Coast,FALSE STEWART CREEK,3550.87455452602
"Central Coast-FIFER COVE CREEK",Central Coast,FIFER COVE CREEK,1186.61395348837
"Central Coast-FISH CREEK",Central Coast,FISH CREEK,814.882352941176
"Central Coast-FISHTRAP BAY CREEK",Central Coast,FISHTRAP BAY CREEK,961.724137931035
"Central Coast-FLUX CREEK",Central Coast,FLUX CREEK,1923.10874065555
"Central Coast-FOCH RIVER",Central Coast,FOCH RIVER,15223.4779996123
"Central Coast-FOOTE CREEK",Central Coast,FOOTE CREEK,1455.51724137931
"Central Coast-FORESTRY CREEK",Central Coast,FORESTRY CREEK,15.8571428571429
"Central Coast-FOUR LAKES CREEK",Central Coast,FOUR LAKES CREEK,690.351851851852
"Central Coast-FRENCHMAN CREEK",Central Coast,FRENCHMAN CREEK,9933.36005497023
"Central Coast-FURY CREEK",Central Coast,FURY CREEK,5236.21527777778
"Central Coast-GABION RIVER",Central Coast,GABION RIVER,2819.13619113334
"Central Coast-GABION RIVER/Hartley Bay Creek",Central Coast,GABION RIVER/Hartley Bay Creek,827.036363636364
"Central Coast-GARBAGE DUMP CREEK",Central Coast,GARBAGE DUMP CREEK,292.428571428571
"Central Coast-GEISH CREEK",Central Coast,GEISH CREEK,695.587912087912
"Central Coast-GENESEE CREEK",Central Coast,GENESEE CREEK,1038.56162981163
"Central Coast-GIL CREEK",Central Coast,GIL CREEK,20365.10183775
"Central Coast-GILTTOYEES CREEK",Central Coast,GILTTOYEES CREEK,11275.5174531351
"Central Coast-GOAT BUSHU CREEK",Central Coast,GOAT BUSHU CREEK,584.693141945774
"Central Coast-GOAT RIVER",Central Coast,GOAT RIVER,446.559581881533
"Central Coast-GORILLA CREEK",Central Coast,GORILLA CREEK,2446.25451559934
"Central Coast-GRANTHAM CREEK",Central Coast,GRANTHAM CREEK,3029.6
"Central Coast-GREEN RIVER",Central Coast,GREEN RIVER,22391.9378881988
"Central Coast-GRIBBELL ISLAND CREEK",Central Coast,GRIBBELL ISLAND CREEK,2358.06481481482
"Central Coast-GULL CREEK",Central Coast,GULL CREEK,1313.85093167702
"Central Coast-HANKIN CREEK",Central Coast,HANKIN CREEK,8705.2315270936
"Central Coast-HAUSER CREEK",Central Coast,HAUSER CREEK,191.454545454545
"Central Coast-HAWKSBURY ISLAND CREEK",Central Coast,HAWKSBURY ISLAND CREEK,3393.77380952381
"Central Coast-HEVENOR INLET CREEK",Central Coast,HEVENOR INLET CREEK,3810.47012218266
"Central Coast-HIRD POINT CREEK",Central Coast,HIRD POINT CREEK,2448.44124293785
"Central Coast-HIRSCH CREEK",Central Coast,HIRSCH CREEK,11042.8054748062
"Central Coast-HOOK NOSE CREEK",Central Coast,HOOK NOSE CREEK,8090.1922203021
"Central Coast-HOTSPRING CREEK",Central Coast,HOTSPRING CREEK,1458.50865726408
"Central Coast-HUGH CREEK",Central Coast,HUGH CREEK,7865.92181888429
"Central Coast-HUMPHRYS CREEK",Central Coast,HUMPHRYS CREEK,4341.5044429255
"Central Coast-HUNTER CREEK",Central Coast,HUNTER CREEK,757
"Central Coast-INDIAN HARBOUR CREEK",Central Coast,INDIAN HARBOUR CREEK,1346.9696969697
"Central Coast-INZIANA RIVER",Central Coast,INZIANA RIVER,25230.5571428572
"Central Coast-JAMES BAY CREEK",Central Coast,JAMES BAY CREEK,12897.4781817409
"Central Coast-JENNY BAY EAST CREEK",Central Coast,JENNY BAY EAST CREEK,483.510989010989
"Central Coast-JENNY BAY WEST CREEK",Central Coast,JENNY BAY WEST CREEK,4549.39102564103
"Central Coast-JOHNSTON CREEK",Central Coast,JOHNSTON CREEK,28462.6695906433
"Central Coast-KADJUSDIS RIVER",Central Coast,KADJUSDIS RIVER,11152.8194579946
"Central Coast-KAINET CREEK",Central Coast,KAINET CREEK,92915.5125448029
"Central Coast-KDELMASHAN CREEK",Central Coast,KDELMASHAN CREEK,6081.95696221108
"Central Coast-KEECHA CREEK",Central Coast,KEECHA CREEK,7922.2056505848
"Central Coast-KEMANO RIVER",Central Coast,KEMANO RIVER,169899.768262479
"Central Coast-KENT INLET LAGOON CREEK",Central Coast,KENT INLET LAGOON CREEK,616.5
"Central Coast-KENZUWASH CREEKS",Central Coast,KENZUWASH CREEKS,359
"Central Coast-KESWAR CREEK",Central Coast,KESWAR CREEK,4746.2402012402
"Central Coast-KHUTZE RIVER",Central Coast,KHUTZE RIVER,33566.8469767051
"Central Coast-KIHESS CREEK",Central Coast,KIHESS CREEK,337.707282913165
"Central Coast-KILBELLA RIVER",Central Coast,KILBELLA RIVER,43020.9989584883
"Central Coast-KILDALA RIVER",Central Coast,KILDALA RIVER,26276.3724336386
"Central Coast-KILDIDT CREEK",Central Coast,KILDIDT CREEK,335.769230769231
"Central Coast-KILDIDT LAGOON CREEK #2",Central Coast,KILDIDT LAGOON CREEK #2,1777.02051282051
"Central Coast-KILTUISH RIVER",Central Coast,KILTUISH RIVER,9166.53590661617
"Central Coast-KIMSQUIT RIVER",Central Coast,KIMSQUIT RIVER,184881.326267627
"Central Coast-KISAMEET RIVER",Central Coast,KISAMEET RIVER,3831.81873028932
"Central Coast-KISKOSH CREEK",Central Coast,KISKOSH CREEK,11484.4216099598
"Central Coast-KITIMAT RIVER",Central Coast,KITIMAT RIVER,148886.738382993
"Central Coast-KITKATLA CREEK",Central Coast,KITKATLA CREEK,736.333333333333
"Central Coast-KITKIATA CREEK",Central Coast,KITKIATA CREEK,43045.6897913148
"Central Coast-KITLOPE RIVER",Central Coast,KITLOPE RIVER,41996.2948063841
"Central Coast-KLEKANE RIVER",Central Coast,KLEKANE RIVER,3696.06019853594
"Central Coast-KLEWNUGGIT INLET CREEK",Central Coast,KLEWNUGGIT INLET CREEK,1791.73870967742
"Central Coast-KLOIYA RIVER",Central Coast,KLOIYA RIVER,67
"Central Coast-KOEYE RIVER",Central Coast,KOEYE RIVER,83819.061429554
"Central Coast-KOORYET CREEK",Central Coast,KOORYET CREEK,9056.09865302396
"Central Coast-KORICH CREEK",Central Coast,KORICH CREEK,6629.26249209361
"Central Coast-KOWESAS RIVER",Central Coast,KOWESAS RIVER,4219.85429385429
"Central Coast-KUMEALON CREEK",Central Coast,KUMEALON CREEK,34888.8111111111
"Central Coast-KUNSOOT RIVER",Central Coast,KUNSOOT RIVER,16255.2157983342
"Central Coast-KWAKUSDIS RIVER",Central Coast,KWAKUSDIS RIVER,17050.5028115523
"Central Coast-KWAKWA CREEK",Central Coast,KWAKWA CREEK,3314.47522349936
"Central Coast-KWATNA RIVER",Central Coast,KWATNA RIVER,87032.4486721988
"Central Coast-KXNGEAL CREEK",Central Coast,KXNGEAL CREEK,2297.75652173913
"Central Coast-LADEKIN CREEK",Central Coast,LADEKIN CREEK,1185.07878787879
"Central Coast-LAGOON CREEK",Central Coast,LAGOON CREEK,1619.74027504512
"Central Coast-LARD CREEK",Central Coast,LARD CREEK,2959.48655913978
"Central Coast-LEE CREEK",Central Coast,LEE CREEK,2586.98507462687
"Central Coast-LEWIS CREEK",Central Coast,LEWIS CREEK,2467.59259259259
"Central Coast-LIMESTONE CREEK",Central Coast,LIMESTONE CREEK,11634.2213971282
"Central Coast-LINNEA CREEK",Central Coast,LINNEA CREEK,2071.59072323026
"Central Coast-LITTLE CREEK",Central Coast,LITTLE CREEK,2938.15429113324
"Central Coast-LITTLE KETTLE CREEK",Central Coast,LITTLE KETTLE CREEK,414.166666666667
"Central Coast-LITTLE TILLHORN CREEK",Central Coast,LITTLE TILLHORN CREEK,388.31568627451
"Central Coast-LITTLE WEDEENE RIVER",Central Coast,LITTLE WEDEENE RIVER,9504.05026342222
"Central Coast-LOCKHART GORDON CREEK",Central Coast,LOCKHART GORDON CREEK,6330.83207070707
"Central Coast-MACHMELL RIVER",Central Coast,MACHMELL RIVER,14291.6666666667
"Central Coast-MACNAIR CREEK",Central Coast,MACNAIR CREEK,3948.01411284913
"Central Coast-MARKLE INLET CREEK",Central Coast,MARKLE INLET CREEK,1421.08410080674
"Central Coast-MARMOT COVE CREEK",Central Coast,MARMOT COVE CREEK,3972.71922147933
"Central Coast-MARSHALL CREEK",Central Coast,MARSHALL CREEK,1244.62121212121
"Central Coast-MARTIN RIVER",Central Coast,MARTIN RIVER,6699.88692185008
"Central Coast-MARTY'S CREEK",Central Coast,MARTY'S CREEK,7.54545454545454
"Central Coast-MARY COVE CREEK",Central Coast,MARY COVE CREEK,1463.38582830826
"Central Coast-MCDONALD CREEK",Central Coast,MCDONALD CREEK,2417.55555555556
"Central Coast-MCLOUGHLIN CREEK",Central Coast,MCLOUGHLIN CREEK,4034.94501926645
"Central Coast-MCMICKING CREEK",Central Coast,MCMICKING CREEK,1140.63529411765
"Central Coast-MEYERS PASS CREEK",Central Coast,MEYERS PASS CREEK,613.467291967292
"Central Coast-MIKADO LAKE CREEK",Central Coast,MIKADO LAKE CREEK,4525.56046093115
"Central Coast-MILTON RIVER",Central Coast,MILTON RIVER,3601.78363636364
"Central Coast-MISSED CREEK",Central Coast,MISSED CREEK,722.763736263736
"Central Coast-MOLLY CREEK",Central Coast,MOLLY CREEK,51.9444444444444
"Central Coast-MONCKTON INLET CREEK",Central Coast,MONCKTON INLET CREEK,1309.52272727273
"Central Coast-MUSSEL RIVER",Central Coast,MUSSEL RIVER,57737.516598916
"Central Coast-NALBEELAH CREEK",Central Coast,NALBEELAH CREEK,9467.62252747253
"Central Coast-NAMELESS CREEK",Central Coast,NAMELESS CREEK,14550.0601808905
"Central Coast-NAMU RIVER",Central Coast,NAMU RIVER,3854.52989417989
"Central Coast-NECLEETSCONNAY RIVER",Central Coast,NECLEETSCONNAY RIVER,19768.1318464145
"Central Coast-NEECHANZ RIVER",Central Coast,NEECHANZ RIVER,20113.832183908
"Central Coast-NEEKAS CREEK",Central Coast,NEEKAS CREEK,56944.5181115428
"Central Coast-NEKITE RIVER",Central Coast,NEKITE RIVER,37.8888888888889
"Central Coast-NEWCOMBE HARBOUR CREEK",Central Coast,NEWCOMBE HARBOUR CREEK,2044.97612958227
"Central Coast-NIAS CREEK",Central Coast,NIAS CREEK,11333.3654825759
"Central Coast-NICKNAQUEET RIVER",Central Coast,NICKNAQUEET RIVER,2147.15056818182
"Central Coast-NIEUMIAMUS CREEK",Central Coast,NIEUMIAMUS CREEK,2000.76923076923
"Central Coast-NOBLE CREEK",Central Coast,NOBLE CREEK,2532.05545603821
"Central Coast-NOEICK RIVER",Central Coast,NOEICK RIVER,4575.30505952381
"Central Coast-NOOHALK CREEK",Central Coast,NOOHALK CREEK,779.145299145299
"Central Coast-NOOKLIKONNIK CREEK",Central Coast,NOOKLIKONNIK CREEK,5680
"Central Coast-NOOSESECK RIVER",Central Coast,NOOSESECK RIVER,9838.49056603774
"Central Coast-NOOTUM RIVER",Central Coast,NOOTUM RIVER,7531.70996818664
"Central Coast-NORTHNESS CREEK",Central Coast,NORTHNESS CREEK,1555
"Central Coast-OSMENT CREEK",Central Coast,OSMENT CREEK,636.556281556282
"Central Coast-OWIKENO LAKE",Central Coast,OWIKENO LAKE,10947.125
"Central Coast-PA-AAT RIVER",Central Coast,PA-AAT RIVER,10482.5703991131
"Central Coast-PACKE CREEK",Central Coast,PACKE CREEK,2007.54899443731
"Central Coast-PARIL RIVER",Central Coast,PARIL RIVER,1372.2962962963
"Central Coast-PENN CREEK",Central Coast,PENN CREEK,709.877450980392
"Central Coast-PHOENIX CREEK",Central Coast,PHOENIX CREEK,386.764705882353
"Central Coast-PIKE CREEK",Central Coast,PIKE CREEK,2313.62023809524
"Central Coast-PINE RIVER",Central Coast,PINE RIVER,3056.64732868757
"Central Coast-POISON COVE CREEK",Central Coast,POISON COVE CREEK,2863.27678812416
"Central Coast-PORCHER CREEK",Central Coast,PORCHER CREEK,296.161290322581
"Central Coast-PORT STEPHENS CREEK",Central Coast,PORT STEPHENS CREEK,1727.84340659341
"Central Coast-POWLES CREEK",Central Coast,POWLES CREEK,2116.32247516179
"Central Coast-PRICE CREEK",Central Coast,PRICE CREEK,7795.67917286614
"Central Coast-PYNE CREEK",Central Coast,PYNE CREEK,4228.74828490718
"Central Coast-QUAAL RIVER",Central Coast,QUAAL RIVER,156856.732222562
