cuid,cuname,culabel,SPECIES_QUALIFIED,FULL_CU_IN,region
306,CK006-Lower Fraser River_SU_1.3,Lower Fraser River (Summer 5-2),CK,CK-6,Fraser
307,CK007-Maria Slough_SU_0.3,Lower Fraser River-Maria Slough (Summer 4-1),CK,CK-7,Fraser
308,CK008-Middle Fraser-Fraser Canyon_SP_1.3,Fraser Canyon-Nahatlatch (Spring 5-2),CK,CK-8,Fraser
309,CK009-Middle Fraser River-Portage_FA_1.3,Middle Fraser River-Portage (Fall 5-2),CK,CK-9,Fraser
310,CK010-Middle Fraser River_SP_1.3,Middle Fraser River (Spring 5-2),CK,CK-10,Fraser
311,CK011-Middle Fraser River_SU_1.3,Middle Fraser River (Summer 5-2),CK,CK-11,Fraser
312,CK012-Upper Fraser River_SP_1.3,Upper Fraser River (Spring 5-2),CK,CK-12,Fraser
313,CK013-South Thompson_SU_0.3,South Thompson River (Summer 4-1),CK,CK-13,Fraser
314,CK014-South Thompson_SU_1.3,South Thompson River (Summer 5-2),CK,CK-14,Fraser
315,CK015-Shuswap River_SU_0.3,Shuswap River (Summer 4-1),CK,CK-15,Fraser
316,CK016-South Thompson-Bessette Creek_SU_1.2,South Thompson River-Bessette Creek (Summer 4-2),CK,CK-16,Fraser
317,CK017-Lower Thompson_SP_1.2,Lower Thompson River (Spring 4-2),CK,CK-17,Fraser
318,CK018-North Thompson_SP_1.3,North Thompson River (Spring 5-2),CK,CK-18,Fraser
319,CK019-North Thompson_SU_1.3,North Thompson River (Summer 5-2),CK,CK-19,Fraser
320,CK020-Southern Mainland-Georgia Strait_FA_0.x,Southern Mainland-Georgia Strait (Fall x-1),CK,CK-20,Vancouver Island & Mainland Inlets
321,CK021-East Vancouver Island-Goldstream_FA_0.x,East Vancouver Island-Goldstream (Fall x-1),CK,CK-21,Vancouver Island & Mainland Inlets
322,CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x,East Vancouver Island-Cowichan and Koksilah (Fall x-1),CK,CK-22,Vancouver Island & Mainland Inlets
323,CK023-East Vancouver Island-Nanaimo_SP_1.x,East Vancouver Island-Nanaimo (Spring x-2),CK,CK-23,Vancouver Island & Mainland Inlets
324,CK025-East Vancouver Island-Nanaimo and Chemainus_FA_0.x,East Vancouver Island-Nanaimo and Chemainus (Fall x-1),CK,CK-25,Vancouver Island & Mainland Inlets
325,CK027-East Vancouver Island-Qualicum and Puntledge_FA_0.x,East Vancouver Island-Qualicum and Puntledge (Fall x-1),CK,CK-27,Vancouver Island & Mainland Inlets
326,CK028-Southern Mainland-Southern Fjords_FA_0.x,Southern Mainland-Southern Fjords (Fall x-1),CK,CK-28,Vancouver Island & Mainland Inlets
327,CK029-East Vancouver Island-North_FA_0.x,East Vancouver Island-North (Fall x-1),CK,CK-29,Vancouver Island & Mainland Inlets
328,CK031-West Vancouver Island-South_FA_0.x,West Vancouver Island-South (Fall x-1),CK,CK-31,Vancouver Island & Mainland Inlets
329,CK032-West Vancouver Island-Nootka and Kyuquot_FA_0.x,West Vancouver Island-Nootka and Kyuquot (Fall x-1),CK,CK-32,Vancouver Island & Mainland Inlets
330,CK033-West Vancouver Island-North_FA_0.x,West Vancouver Island-North (Fall x-1),CK,CK-33,Vancouver Island & Mainland Inlets
331,CK034-Homathko_SU_x.x,Homathko (Summer x-x),CK,CK-34,Vancouver Island & Mainland Inlets
332,CK035-Klinaklini_SU_1.3,Klinaklini (Summer 5-2),CK,CK-35,Vancouver Island & Mainland Inlets
333,CK082-Upper Adams River_SU_x.x,South Thompson-Adams River Upper,CK,CK-82,Fraser
334,CK083-East Vancouver Island-Georgia Strait_SU_0.3,East Vancouver Island-Georgia Strait (Summer 4-1),CK,CK-83,Vancouver Island & Mainland Inlets
335,Fraser-Harrison fall transplant_FA_0.3,Fraser-Harrison Fall Transplant (Fall 4-1),CK,NA,Fraser
401,Portland Sound-Observatory Inlet-Lower Nass,Portland Sound-Observatory Inlet-Lower Nass,CK,CK-57,Nass
402,Upper Nass,Upper Nass,CK,CK-58,Nass
404,Portland Inlet,Portland Inlet,CM,CM-30,Nass
405,Lower Nass,Lower Nass,CM,CM-31,Nass
406,Portland Canal-Observatory,Portland Canal-Observatory,CM,CM-32,Nass
408,Lower Nass,Lower Nass,CO,CO-35,Nass
409,Upper Nass,Upper Nass,CO,CO-36,Nass
410,Portland Sound-Observatory Inlet-Portland Canal,Portland Sound-Observatory Inlet-Portland Canal,CO,CO-37,Nass
412,Upper Nass,Upper Nass (even),PKE,PKE-12,Nass
414,Nass-Portland-Observatory,Nass-Portland-Observatory (odd),PKO,PKO-17,Nass
415,Upper Nass,Upper Nass (odd),PKO,PKO-18,Nass
416,Prudhomme,Prudhomme,SEL,SEL-19-49,Nass
417,Shawatlan,Shawatlan,SEL,SEL-19-54,Nass
418,Clements,Clements,SEL,NA,Nass
419,Leverson,Leverson,SEL,NA,Nass
420,Bowser,Bowser,SEL,SEL-24-01,Nass
421,Damdochax,Damdochax,SEL,SEL-24-02,Nass
422,Fred Wright,Fred Wright,SEL,SEL-24-03,Nass
423,Kwinageese,Kwinageese,SEL,NA,Nass
424,Meziadin,Meziadin,SEL,SEL-24-05,Nass
425,Oweegee,Oweegee,SEL,SEL-24-06,Nass
426,Lower Nass-Portland,Lower Nass-Portland (river-type),SER,SER-20,Nass
427,Upper Nass River,Upper Nass River (river-type),SER,SER-21,Nass
480,Nass Summer,Nass Summer,SH,NA,Nass
481,Nass Winter,Nass Winter,SH,NA,Nass
500,Smith Inlet (Chum),Smith Inlet,CM,CM-12,Central Coast
501,Rivers Inlet (Chum),Rivers Inlet,CM,CM-13,Central Coast
502,Wannock (Chum),Wannock,CM,CM-14,Central Coast
503,Spiller-Fitz-Hugh-Burke (Chum),Spiller-Fitz-Hugh-Burke,CM,CM-15,Central Coast
504,Bella Coola-Dean Rivers (Chum),Bella Coola-Dean Rivers,CM,CM-16,Central Coast
505,Bella Coola River-Late (Chum),Bella Coola River-Late,CM,CM-17,Central Coast
506,Hecate Lowlands (Chum),Hecate Lowlands,CM,CM-18,Central Coast
507,Mussel-Kynock (Chum),Mussel-Kynoch,CM,CM-19,Central Coast
508,Douglas-Gardner (Chum),Douglas-Gardner,CM,CM-20,Central Coast
509,Docee (Chinook),Docee,CK,CK-36,Central Coast
510,Rivers Inlet (Chinook),Rivers Inlet,CK,CK-37,Central Coast
511,Wannock (Chinook),Wannock,CK,CK-38,Central Coast
512,Bella Coola-Bentinck (Chinook),Bella Coola-Bentinck,CK,CK-39,Central Coast
513,Dean River (Chinook),Dean River,CK,CK-40,Central Coast
514,North & Central Coast-late timing (Chinook),North & Central Coast-Late,CK,CK-41,Central Coast
515,North & Central Coast-early timing (Chinook),North & Central Coast-Early,CK,CK-42,Central Coast
516,Smith Inlet (Coho),Smith Inlet,CO,CO-20,Central Coast
517,Rivers Inlet (Coho),Rivers Inlet,CO,CO-21,Central Coast
518,Bella Coola-Dean Rivers (Coho),Bella Coola-Dean Rivers,CO,CO-22,Central Coast
519,Mussel-Kynoch (Coho),Mussel-Kynoch,CO,CO-26,Central Coast
520,Hecate Strait Mainland (Coho),Hecate Strait Mainland,CO,CO-27,Central Coast
521,Brim-Wahoo (Coho),Brim-Wahoo,CO,CO-28,Central Coast
522,Douglas Channel-Kitimat Arm (Coho),Douglas Channel-Kitimat Arm,CO,CO-29,Central Coast
523,Northern Coastal Streams (Coho),Northern Coastal Streams,CO,CO-30,Central Coast
524,Long (Sockeye-Lake),Long,SEL,SEL-15-01,Central Coast
525,Owikeno (Sockeye-Lake),Owikeno,SEL,SEL-15-02,Central Coast
527,Wannock[Owikeno] (Sockeye-Lake),Wannock (Owikeno),SEL,SEL-15-04,Central Coast
528,South Atnarko Lakes (Sockeye-Lake),South Atnarko Lakes,SEL,SX_528,Central Coast
529,Backland (Sockeye-Lake),Backland,SEL,SEL-18-01,Central Coast
530,Soda Creek (Sockeye-Lake),Soda Creek,SEL,SEL-18-10,Central Coast
532,Canoona (Sockeye-Lake),Canoona,SEL,SEL-18-02,Central Coast
533,Dome (Sockeye-Lake),Dome,SEL,SEL-18-03,Central Coast
534,Evelyn (Sockeye-Lake),Evelyn,SEL,SEL-18-04,Central Coast
535,Kainet Creek (Sockeye-Lake),Kainet Creek,SEL,SEL-18-05,Central Coast
536,Kimsquit (Sockeye-Lake),Kimsquit,SEL,SEL-18-06,Central Coast
537,Kitkiata (Sockeye-Lake),Kitkiata,SEL,SEL-18-07,Central Coast
538,Kitlope (Sockeye-Lake),Kitlope,SEL,SEL-18-08,Central Coast
539,Pine River (Sockeye-Lake),Pine River,SEL,SEL-18-09,Central Coast
540,Banks (Sockeye-Lake),Banks,SEL,SEL-19-01,Central Coast
541,Bloomfield (Sockeye-Lake),Bloomfield,SEL,SEL-19-02,Central Coast
542,Bolton Creek (Sockeye-Lake),Bolton Creek,SEL,SEL-19-03,Central Coast
543,Bonilla (Sockeye-Lake),Bonilla,SEL,SEL-19-04,Central Coast
544,Borrowman Creek (Sockeye-Lake),Borrowman Creek,SEL,SEL-19-05,Central Coast
545,Busey Creek (Sockeye-Lake),Busey Creek,SEL,SEL-19-06,Central Coast
546,Cartwright Creek (Sockeye-Lake),Cartwright Creek,SEL,SEL-19-07,Central Coast
547,Chic Chic (Sockeye-Lake),Chic Chic,SEL,SEL-19-08,Central Coast
548,Citeyats (Sockeye-Lake),Citeyats,SEL,SEL-19-09,Central Coast
549,Fannie Cove (Sockeye-Lake),Fannie Cove,SEL,SEL-19-10,Central Coast
550,Curtis Inlet (Sockeye-Lake),Curtis Inlet,SEL,SEL-19-11,Central Coast
551,Dallain Creek (Sockeye-Lake),Dallain Creek,SEL,SEL-19-12,Central Coast
552,Deer (Sockeye-Lake),Deer,SEL,SEL-19-13,Central Coast
553,Devon (Sockeye-Lake),Devon,SEL,SEL-19-14,Central Coast
554,Douglas Creek (Sockeye-Lake),Douglas Creek,SEL,SEL-19-15,Central Coast
555,Elizabeth (Sockeye-Lake),Elizabeth,SEL,SEL-19-16,Central Coast
556,Elsie/Hoy (Sockeye-Lake),Elsie/Hoy,SEL,SEL-19-17,Central Coast
557,End Hill Creek (Sockeye-Lake),End Hill Creek,SEL,SEL-19-18,Central Coast
558,Evinrude Inlet (Sockeye-Lake),Evinrude Inlet,SEL,SEL-19-19,Central Coast
559,Freeda (Sockeye-Lake),Freeda,SEL,SEL-19-20,Central Coast
560,Hartley Bay (Sockeye-Lake),Hartley Bay,SEL,SEL-19-21,Central Coast
561,Hevenor Inlet (Sockeye-Lake),Hevenor Inlet,SEL,SEL-19-22,Central Coast
562,Higgins Lagoon (Sockeye-Lake),Higgins Lagoon,SEL,SEL-19-23,Central Coast
563,Kadjusdis River (Sockeye-Lake),Kadjusdis River,SEL,SEL-19-24,Central Coast
564,Kdelmashan Creek (Sockeye-Lake),Kdelmashan Creek,SEL,SEL-19-25,Central Coast
565,Keecha (Sockeye-Lake),Keecha,SEL,SEL-19-26,Central Coast
566,Kent Inlet Lagoon Creek (Sockeye-Lake),Kent Inlet Lagoon Creek,SEL,SEL-19-27,Central Coast
567,Kenzuwash Creeks (Sockeye-Lake),Kenzuwash Creeks,SEL,SEL-19-28,Central Coast
568,Keswar Creek (Sockeye-Lake),Keswar Creek,SEL,SEL-19-29,Central Coast
569,Kildidt Creek (Sockeye-Lake),Kildidt Creek,SEL,SEL-19-30,Central Coast
570,Kildidt Lagoon Creek (Sockeye-Lake),Kildidt Lagoon Creek,SEL,SEL-19-31,Central Coast
571,Kisameet (Sockeye-Lake),Kisameet,SEL,SEL-19-32,Central Coast
572,Koeye (Sockeye-Lake),Koeye,SEL,SEL-19-33,Central Coast
573,Kooryet (Sockeye-Lake),Kooryet,SEL,SEL-19-34,Central Coast
574,Kunsoot River (Sockeye-Lake),Kunsoot River,SEL,SEL-19-35,Central Coast
575,Kwakwa Creek (Sockeye-Lake),Kwakwa Creek,SEL,SEL-19-36,Central Coast
576,Lewis Creek (Sockeye-Lake),Lewis Creek,SEL,SEL-19-37,Central Coast
577,Limestone Creek (Sockeye-Lake),Limestone Creek,SEL,SEL-19-38,Central Coast
578,Lowe/Simpson/Weir (Sockeye-Lake),Lowe/Simpson/Weir,SEL,SEL-19-39,Central Coast
579,Mary Cove Creek (Sockeye-Lake),Mary Cove Creek,SEL,SEL-19-40,Central Coast
580,Mcdonald Creek (Sockeye-Lake),Mcdonald Creek,SEL,SEL-19-41,Central Coast
581,Mcloughlin (Sockeye-Lake),Mcloughlin,SEL,SEL-19-42,Central Coast
582,Mikado (Sockeye-Lake),Mikado,SEL,SEL-19-43,Central Coast
583,Monckton Inlet Creek (Sockeye-Lake),Monckton Inlet Creek,SEL,SEL-19-44,Central Coast
584,Namu (Sockeye-Lake),Namu,SEL,SEL-19-45,Central Coast
585,Port John (Sockeye-Lake),Port John,SEL,SEL-19-46,Central Coast
586,Powles Creek (Sockeye-Lake),Powles Creek,SEL,SEL-19-47,Central Coast
587,Price Creek (Sockeye-Lake),Price Creek,SEL,SEL-19-48,Central Coast
588,Roderick (Sockeye-Lake),Roderick,SEL,SEL-19-50,Central Coast
589,Ryan Creek (Sockeye-Lake),Ryan Creek,SEL,SEL-19-51,Central Coast
590,Salter (Sockeye-Lake),Salter,SEL,SEL-19-52,Central Coast
591,Scoular/Kilpatrick (Sockeye-Lake),Scoular/Kilpatrick,SEL,SEL-19-53,Central Coast
592,Sheneeza Inlet (Sockeye-Lake),Sheneeza Inlet,SEL,SEL-19-55,Central Coast
593,Ship Point Creek (Sockeye-Lake),Ship Point Creek,SEL,SEL-19-56,Central Coast
594,Spencer Creek (Sockeye-Lake),Spencer Creek,SEL,SEL-19-57,Central Coast
595,Stannard Creek (Sockeye-Lake),Stannard Creek,SEL,SEL-19-58,Central Coast
596,Talamoosa Creek (Sockeye-Lake),Talamoosa Creek,SEL,SEL-19-59,Central Coast
597,Tankeeah River (Sockeye-Lake),Tankeeah River,SEL,SEL-19-60,Central Coast
598,Treneman Creek (Sockeye-Lake),Treneman Creek,SEL,SEL-19-61,Central Coast
599,Tsimtack/Moore/Roger (Sockeye-Lake),Tsimtack/Moore/Roger,SEL,SEL-19-62,Central Coast
600,Tuno Creek East (Sockeye-Lake),Tuno Creek East,SEL,SEL-19-63,Central Coast
601,Tuno Creek West (Sockeye-Lake),Tuno Creek West,SEL,SEL-19-64,Central Coast
602,Tyler Creek (Sockeye-Lake),Tyler Creek,SEL,SEL-19-65,Central Coast
603,Wale Creek (Sockeye-Lake),Wale Creek,SEL,SEL-19-66,Central Coast
604,Watt Bay (Sockeye-Lake),Watt Bay,SEL,SEL-19-67,Central Coast
605,West Creek (Sockeye-Lake),West Creek,SEL,SEL-19-68,Central Coast
606,Yaaklele Lagoon (Sockeye-Lake),Yaaklele Lagoon,SEL,SEL-19-69,Central Coast
607,Yeo (Sockeye-Lake),Yeo,SEL,SEL-19-70,Central Coast
608,Hecate Lowlands (Pink-Even Year),Hecate Lowlands (even),PKE,PKE-5,Central Coast
609,Hecate Strait-Fjords (Pink-Even Year),Hecate Strait-Fjords (even),PKE,PKE-6,Central Coast
610,Homathko-Klinaklini-Smith-Rivers-Bella Coola-Dean (Pink-Odd Year),Homathko-Klinaklini-Smith-Rivers-Bella Coola-Dean (odd),PKO,PKO-8,Central Coast
611,Hecate Strait-Lowlands (Pink-Odd Year),Hecate Strait-Lowlands (odd),PKO,PKO-12,Central Coast
612,Hecate Strait-Fjords (Pink-Odd Year),Hecate Strait-Fjords (odd),PKO,PKO-13,Central Coast
613,Rivers-Smith Inlets (Sockeye-River),Rivers-Smith Inlets (river-type),SER,SER-12,Central Coast
614,Northern Coastal Fjords (Sockeye-River),Northern Coastal Fjords (river-type),SER,SER-16,Central Coast
615,Northn Coastal Streams (Sockeye-River),Northern Coastal Streams (river-type),SER,SER-17,Central Coast
680,North Coast Winter,North Coast Winter,SH,NA,Central Coast
681,North Coast Summer,North Coast Summer,SH,NA,Central Coast
682,Central Coast Winter,Central Coast Winter,SH,NA,Central Coast
683,Transition Summer,Transition Summer,SH,NA,Central Coast
701,Lower Fraser,Lower Fraser,CM,CM-2,Fraser
704,Lillooet,Lillooet,CO,CO-4,Fraser
705,Fraser Canyon,Fraser Canyon,CO,CO-5,Fraser
707,Lower Thompson,Lower Thompson,CO,CO-7,Fraser
708,South Thompson,South Thompson,CO,CO-8,Fraser
709,North Thompson,North Thompson,CO,CO-9,Fraser
710,Fraser River,Fraser River (odd),PKO,PKO-1,Fraser
711,Chilliwack_Early Summer,Chilliwack-Early Summer (cyclic),SEL,SEL-03-01,Fraser
712,Cultus_Late,Cultus-Late,SEL,SEL-03-02,Fraser
713,Harrison-downstream migrating_Late,Harrison-Downstream Migrating-Late,SEL,SEL-03-03,Fraser
714,Harrison-upstream migrating_Late,Harrison-Upstream Migrating-Late,SEL,SEL-03-04,Fraser
715,Pitt_Early Summer,Pitt-Early Summer,SEL,SEL-03-05,Fraser
716,Lillooet/Harrison_Late,Lillooet-Harrison-Late,SEL,SEL-04-01,Fraser
718,Nahatlatch_Early Summer,Nahatlatch-Early Summer,SEL,SEL-05-02,Fraser
719,Anderson/Seton_Early Summer,Anderson-Seton-Early Summer,SEL,SEL-06-01,Fraser
720,Chilko_Early Summer,Chilko-Early Summer,SEL,SEL-06-02,Fraser
721,Chilko_Summer,Chilko-Summer,SEL,SEL-06-03,Fraser
725,Francois/Fraser_Summer,Francois-Fraser-Summer,SEL,SEL-06-07,Fraser
727,Nadina/Francois_Early Summer <<Extinct>>,Nadina-Francois-Early Summer,SEL,SEL-06-20,Fraser
728,Quesnel_Summer,Quesnel-Summer (cyclic),SEL,SEL-06-10,Fraser
729,Seton_Late,Seton-Late (de novo),SEL,SEL-06-11,Fraser
731,Takla/Trembleur/Stuart_Summer,Takla-Trembleur-Stuart-Summer (cyclic),SEL,SEL-06-13,Fraser
732,Takla/Trembleur_Early Stuart,Takla-Trembleur-Early Stuart (cyclic),SEL,SEL-06-14,Fraser
734,Taseko_Early Summer,Taseko-Early Summer,SEL,SEL-06-16,Fraser
735,Bowron_Early Summer,Bowron-Early Summer,SEL,SEL-07-01,Fraser
738,Shuswap_Early Summer,Shuswap-Early Summer (cyclic),SEL,SEL-09-02,Fraser
739,Shuswap_Late,Shuswap-Late (cyclic),SEL,SEL-09-03,Fraser
740,Kamloops_Early Summer,Kamloops-Early Summer,SEL,SEL-10-01,Fraser
742,Widgeon,Widgeon (river-type),SER,SER-02,Fraser
745,Harrison River,Harrison River (river-type),SER,SER-03,Fraser
749,Interior Fraser,Interior Fraser,CO,CO-48,Fraser
750,Lower Fraser,Lower Fraser,CO,CO-47,Fraser
751,Adams and Momich Lakes_Early Summer <<Extinct>>,Adams & Momich Lakes-Early Summer,SEL,SEL-09-xx,Fraser
752,North Barriere_Early Summer <<de novo>>,North Barriere-Early Summer (de novo),SEL,SEL-10-03,Fraser
753,Fraser_Early Summer<<Extinct>>,Fraser-Early Summer,SEL,NA,Fraser
756,Alouette - Early Summer <<Extinct>>,Alouette-Early Summer,SEL,NA,Fraser
757,Coquitlam – Early Summer <<Extinct>>,Coquitlam-Early Summer,SEL,NA,Fraser
758,Kawkawa – Late <<Extinct>>,Kawkawa-Late,SEL,NA,Fraser
759,Seton - Summer <<Extinct>>,Seton-Summer,SEL,NA,Fraser
760,Adams - Early Summer <<Extinct>>,Adams-Early Summer,SEL,NA,Fraser
761,Momich - Early Summer <<Extinct>>,Momich-Early Summer,SEL,NA,Fraser
763,North Barriere - Early Summer <<Extinct>>,North Barriere-Early Summer,SEL,NA,Fraser
780,Mid Fraser Summer,Mid Fraser Summer,SH,NA,Fraser
781,Thompson Summer,Thompson Summer,SH,NA,Fraser
782,Lower Fraser Winter,Lower Fraser Winter,SH,NA,Fraser
783,Fraser Canyon Summer,Fraser Canyon Summer,SH,NA,Fraser
784,Lower Fraser Summer,Lower Fraser Summer,SH,NA,Fraser
785,Boundary Bay Winter,Boundary Bay Winter,SH,NA,Fraser
800,North Haida Gwaii-Stanley Creek,North Haida Gwaii-Stanley Creek,CM,CM-25,HaidaGwaii
801,East HG,East Haida Gwaii,CM,CM-21,HaidaGwaii
802,North Haida Gwaii,North Haida Gwaii,CM,CM-24,HaidaGwaii
803,West Haida Gwaii,West Haida Gwaii,CM,CM-23,HaidaGwaii
804,Skidegate,Skidegate,CM,CM-22,HaidaGwaii
805,Haida Gwaii-North,North Haida Gwaii,CK,CK-43,HaidaGwaii
806,Haida Gwaii-East,East Haida Gwaii,CK,CK-44,HaidaGwaii
807,Haida Gwaii-East,East Haida Gwaii,CO,CO-23,HaidaGwaii
808,Haida Gwaii-West,West Haida Gwaii,CO,CO-24,HaidaGwaii
809,Haida Gwaii-Graham Island Lowlands,Haida Gwaii-Graham Island Lowlands,CO,CO-25,HaidaGwaii
810,North Haida Gwaii,North Haida Gwaii (even),PKE,PKE-9,HaidaGwaii
811,East Haida Gwaii,East Haida Gwaii (even),PKE,PKE-10,HaidaGwaii
812,West Haida Gwaii,West Haida Gwaii (even),PKE,PKE-11,HaidaGwaii
813,East Haida Gwaii,East Haida Gwaii (odd),PKO,PKO-9,HaidaGwaii
814,North Haida Gwaii,North Haida Gwaii (odd),PKO,PKO-10,HaidaGwaii
815,West Haida Gwaii,West Haida Gwaii (odd),PKO,PKO-11,HaidaGwaii
816,East Haida Gwaii,East Haida Gwaii (river-type),SER,SER-13,HaidaGwaii
817,North Haida Gwaii,North Haida Gwaii (river-type),SER,SER-15,HaidaGwaii
818,West Haida Gwaii,West Haida Gwaii (river-type),SER,SER-14,HaidaGwaii
819,Ain/Skundale/Ian,Ain-Skundale-Ian,SEL,SEL-17-01,HaidaGwaii
820,Awun,Awun,SEL,SEL-17-02,HaidaGwaii
821,Fairfax,Fairfax,SEL,SEL-17-03,HaidaGwaii
822,Jalun,Jalun,SEL,SEL-17-04,HaidaGwaii
823,Marian/Eden,Marian/Eden,SEL,SEL-17-05,HaidaGwaii
824,Mathers,Mathers,SEL,SEL-17-06,HaidaGwaii
825,Mercer,Mercer,SEL,SEL-17-07,HaidaGwaii
826,Skidegate,Skidegate,SEL,SEL-17-08,HaidaGwaii
