"river","year","infill","neighbour","escapement","pmax"
"kaouk_river",1995,NA,NA,266,NA
"kaouk_river",1996,NA,NA,219,NA
"kaouk_river",1997,NA,NA,558,NA
"kaouk_river",1998,NA,NA,824,NA
"kaouk_river",1999,NA,NA,453,NA
"kaouk_river",2000,NA,NA,105,NA
"kaouk_river",2001,NA,NA,409,NA
"kaouk_river",2002,NA,NA,251,NA
"kaouk_river",2003,NA,NA,358,NA
"kaouk_river",2004,NA,NA,301,NA
"kaouk_river",2005,NA,NA,488,NA
"kaouk_river",2006,NA,NA,536,NA
"kaouk_river",2007,NA,NA,193,NA
"kaouk_river",2008,NA,NA,264,NA
"kaouk_river",2009,NA,NA,550,NA
"kaouk_river",2010,NA,NA,185,NA
"kaouk_river",2011,NA,NA,302,NA
"kaouk_river",2012,NA,NA,223,NA
"kaouk_river",2013,NA,NA,240,NA
"kaouk_river",2014,NA,NA,192,NA
"kaouk_river",2015,NA,NA,331,NA
"kaouk_river",2016,NA,NA,370,NA
"kaouk_river",2017,NA,NA,605,NA
"kaouk_river",2018,NA,NA,420,NA
"kaouk_river",2019,NA,NA,266,NA
"kaouk_river",2020,NA,NA,350,NA
"kaouk_river",2021,NA,NA,325,NA
"kaouk_river",2022,NA,NA,739,NA
"kaouk_river",2023,NA,NA,355,NA
"leiner_river",1979,NA,NA,200,NA
"leiner_river",1980,NA,NA,400,NA
"leiner_river",1982,NA,NA,15,NA
"leiner_river",1983,NA,NA,50,NA
"leiner_river",1984,NA,NA,195,NA
"leiner_river",1985,NA,NA,100,NA
"leiner_river",1986,NA,NA,190,NA
"leiner_river",1987,NA,NA,125,NA
"leiner_river",1988,NA,NA,300,NA
"leiner_river",1989,NA,NA,500,NA
"leiner_river",1990,NA,NA,450,NA
"leiner_river",1991,NA,NA,300,NA
"leiner_river",1992,NA,NA,350,NA
"leiner_river",1993,NA,NA,500,NA
"leiner_river",1994,NA,NA,300,NA
"leiner_river",1995,NA,NA,402,NA
"leiner_river",1996,NA,NA,683,NA
"leiner_river",1997,NA,NA,503,NA
"leiner_river",1998,NA,NA,344,NA
"leiner_river",1999,NA,NA,762,NA
"leiner_river",2000,NA,NA,132,NA
"leiner_river",2001,NA,NA,394,NA
"leiner_river",2002,NA,NA,944,NA
"leiner_river",2003,NA,NA,401,NA
"leiner_river",2004,NA,NA,702,NA
"leiner_river",2005,NA,NA,325,NA
"leiner_river",2006,NA,NA,133,NA
"leiner_river",2007,NA,NA,142,NA
"leiner_river",2008,NA,NA,214,NA
"leiner_river",2009,NA,NA,678,NA
"leiner_river",2010,NA,NA,430,NA
"leiner_river",2011,NA,NA,392,NA
"leiner_river",2012,NA,NA,566,NA
"leiner_river",2013,NA,NA,358,NA
"leiner_river",2014,NA,NA,303,NA
"leiner_river",2015,NA,NA,797,NA
"leiner_river",2016,NA,NA,1466,NA
"leiner_river",2017,NA,NA,1759,NA
"leiner_river",2018,NA,NA,695,NA
"leiner_river",2019,NA,NA,641,NA
"leiner_river",2020,NA,NA,952,NA
"leiner_river",2021,NA,NA,759,NA
"leiner_river",2022,NA,NA,466,NA
"leiner_river",2023,NA,NA,857,NA
"marble_river",1979,NA,NA,750,NA
"marble_river",1980,NA,NA,5000,NA
"marble_river",1981,NA,NA,3000,NA
"marble_river",1982,NA,NA,5000,NA
"marble_river",1983,NA,NA,1000,NA
"marble_river",1984,NA,NA,600,NA
"marble_river",1985,NA,NA,1250,NA
"marble_river",1986,NA,NA,1100,NA
"marble_river",1987,NA,NA,1750,NA
"marble_river",1988,NA,NA,3275,NA
"marble_river",1989,NA,NA,4181,NA
"marble_river",1990,NA,NA,1973,NA
"marble_river",1991,NA,NA,710,NA
"marble_river",1992,NA,NA,800,NA
"marble_river",1993,NA,NA,2000,NA
"marble_river",1994,NA,NA,650,NA
"marble_river",1995,NA,NA,1386,NA
"marble_river",1996,NA,NA,3655,NA
"marble_river",1997,NA,NA,2424,NA
"marble_river",1998,NA,NA,4821,NA
"marble_river",1999,NA,NA,3985,NA
"marble_river",2000,NA,NA,2282,NA
"marble_river",2001,NA,NA,1450,NA
"marble_river",2002,NA,NA,1958,NA
"marble_river",2003,NA,NA,1554,NA
"marble_river",2004,NA,NA,3658,NA
"marble_river",2005,NA,NA,2337,NA
"marble_river",2006,NA,NA,3071,NA
"marble_river",2007,NA,NA,2764,NA
"marble_river",2008,NA,NA,2298,NA
"marble_river",2009,NA,NA,3440,NA
"marble_river",2010,NA,NA,3560,NA
"marble_river",2011,NA,NA,3905,NA
"marble_river",2012,NA,NA,2364,NA
"marble_river",2013,NA,NA,2081,NA
"marble_river",2014,NA,NA,1185,NA
"marble_river",2015,NA,NA,6516,NA
"marble_river",2016,NA,NA,1606,NA
"marble_river",2017,NA,NA,5078,NA
"marble_river",2018,NA,NA,723,NA
"marble_river",2019,NA,NA,4623,NA
"marble_river",2020,NA,NA,2165,NA
"marble_river",2021,NA,NA,1857,NA
"marble_river",2022,NA,NA,2032,NA
"marble_river",2023,NA,NA,5357,NA
"megin_river",1979,NA,NA,50,NA
"megin_river",1980,NA,NA,160,NA
"megin_river",1981,NA,NA,150,NA
"megin_river",1982,NA,NA,100,NA
"megin_river",1986,NA,NA,30,NA
"megin_river",1987,NA,NA,25,NA
"megin_river",1988,NA,NA,30,NA
"megin_river",1989,NA,NA,26,NA
"megin_river",1991,NA,NA,10,NA
"megin_river",1992,NA,NA,150,NA
"megin_river",1993,NA,NA,436,NA
"megin_river",1994,NA,NA,841,NA
"megin_river",1995,NA,NA,323,NA
"megin_river",1996,NA,NA,164,NA
"megin_river",1997,NA,NA,266,NA
"megin_river",1998,NA,NA,370,NA
"megin_river",1999,NA,NA,234,NA
"megin_river",2000,NA,NA,160,NA
"megin_river",2002,NA,NA,23,NA
"megin_river",2003,NA,NA,28,NA
"megin_river",2004,NA,NA,72,NA
"megin_river",2005,NA,NA,36,NA
"megin_river",2006,NA,NA,117,NA
"megin_river",2007,NA,NA,13,NA
"megin_river",2008,NA,NA,24,NA
"megin_river",2009,NA,NA,15,NA
"megin_river",2010,NA,NA,9,NA
"megin_river",2011,NA,NA,48,NA
"megin_river",2012,NA,NA,80,NA
"megin_river",2013,NA,NA,73,NA
"megin_river",2014,NA,NA,37,NA
"megin_river",2015,NA,NA,49,NA
"megin_river",2016,NA,NA,17,NA
"megin_river",2017,NA,NA,61,NA
"megin_river",2018,NA,NA,7,NA
"megin_river",2019,NA,NA,14,NA
"megin_river",2020,NA,NA,14,NA
"megin_river",2021,NA,NA,23,NA
"megin_river",2022,NA,NA,87,NA
"megin_river",2023,NA,NA,71,NA
"moyeha_river",1979,NA,NA,6,NA
"moyeha_river",1980,NA,NA,25,NA
"moyeha_river",1981,NA,NA,25,NA
"moyeha_river",1989,NA,NA,80,NA
"moyeha_river",1993,NA,NA,250,NA
"moyeha_river",1994,NA,NA,420,NA
"moyeha_river",1995,NA,NA,89,NA
"moyeha_river",1996,NA,NA,243,NA
"moyeha_river",1997,NA,NA,84,NA
"moyeha_river",1998,NA,NA,155,NA
"moyeha_river",1999,NA,NA,239,NA
"moyeha_river",2000,NA,NA,94,NA
"moyeha_river",2001,NA,NA,115,NA
"moyeha_river",2002,NA,NA,54,NA
"moyeha_river",2003,NA,NA,155,NA
"moyeha_river",2004,NA,NA,362,NA
"moyeha_river",2005,NA,NA,115,NA
"moyeha_river",2006,NA,NA,85,NA
"moyeha_river",2007,NA,NA,112,NA
"moyeha_river",2008,NA,NA,149,NA
"moyeha_river",2009,NA,NA,60,NA
"moyeha_river",2010,NA,NA,185,NA
"moyeha_river",2011,NA,NA,67,NA
"moyeha_river",2013,NA,NA,5,NA
"moyeha_river",2014,NA,NA,44,NA
"moyeha_river",2016,NA,NA,139,NA
"moyeha_river",2017,NA,NA,136,NA
"moyeha_river",2018,NA,NA,20,NA
"moyeha_river",2019,NA,NA,22,NA
"moyeha_river",2020,NA,NA,43,NA
"moyeha_river",2021,NA,NA,99,NA
"moyeha_river",2022,NA,NA,131,NA
"moyeha_river",2023,NA,NA,228,NA
"nahmint_river",1979,NA,NA,200,NA
"nahmint_river",1980,NA,NA,175,NA
"nahmint_river",1981,NA,NA,250,NA
"nahmint_river",1982,NA,NA,425,NA
"nahmint_river",1983,NA,NA,100,NA
"nahmint_river",1984,NA,NA,35,NA
"nahmint_river",1985,NA,NA,250,NA
"nahmint_river",1986,NA,NA,300,NA
"nahmint_river",1988,NA,NA,50,NA
"nahmint_river",1989,NA,NA,300,NA
