"Year","Management Group","Spawning Escapement","Run Size Adjustment (RSA)","U.S. Catch","Canada Catch","Total Catch","Run Size","In-season Run Size"
1999,"Total Fraser",1867769,1215335,41318,520219,561538,3644642,NA
2000,"Total Fraser",2354260,390356,496211,1316737,1812949,4557565,NA
2001,"Total Fraser",5278817,-534120,284039,1320116,1604156,6348853,NA
2002,"Total Fraser",10131025,1039710,448805,3771497,4220302,15391037,NA
2003,"Total Fraser",1987715,523948,314543,2035500,2350043,4861706,NA
2004,"Total Fraser",525309,1406963,256874,2068066,2324940,4257212,NA
2005,"Total Fraser",3360632,1821921,517801,1258405,1776206,6958759,NA
2006,"Total Fraser",4662857,2932023,752509,4690657,5443167,13038047,NA
2007,"Total Fraser",888896,285482,177570,226703,404273,1578651,NA
2008,"Total Fraser",817020,329280,60746,512030,572776,1719076,NA
2009,"Total Fraser",1103321,410643,20807,102235,123043,1637007,NA
2010,"Total Fraser",13142562,1468841,1968895,11632050,13600946,28212349,NA
2011,"Total Fraser",2586342,778065,298841,1464117,1762958,5127365,NA
2012,"Total Fraser",925467,474973,127690,535377,663068,2063508,NA
2013,"Total Fraser",2572096,1129070,73599,503982,577581,4278747,NA
2014,"Total Fraser",5890523,1841269,893173,10266195,11159369,18891161,NA
2015,"Total Fraser",1192968,440594,155139,221340,376479,2010041,NA
2016,"Total Fraser",487032,152356,37098,158040,195139,834527,NA
2017,"Total Fraser",955791,227768,20145,85701,105846,1289405,NA
2018,"Total Fraser",4102178,1037878,1050674,4840922,5891596,11031652,NA
2019,"Total Fraser",304568,181808,78113,6561,84674,571050,NA
2020,"Total Fraser",273843,98474,3737,15978,19716,392033,NA
2021,"Total Fraser",1905700,355460,86821,96736,183557,2444717,NA
2022,"Total Fraser",NA,NA,NA,NA,NA,NA,6777080
