to,Indicator,sppqualifiedid,geofeatureid,streamname,cuid
8722,N,NA,NA,LONG CREEK,728
8723,N,NA,NA,LONG CREEK - SHORE,728
7967,NA,NA,NA,LORD RIVER,310
8162,N,NA,NA,LORENZETTA CREEK,701
8299,N,NA,NA,LORENZETTA CREEK,750
8519,N,NA,NA,LORENZETTA CREEK,710
8591,N,NA,NA,LOST VALLEY CREEK - SHORE,719
7940,Y,NA,NA,LOUIS CREEK,317
8404,Y,NA,NA,LOUIS CREEK,709
8889,Y,NA,NA,LOVELL CREEK,732
8163,N,NA,NA,LUCKAKUCK CREEK,701
8300,N,NA,NA,LUCKAKUCK CREEK,750
8724,N,NA,NA,LYNX CREEK,728
8725,N,NA,NA,LYNX CREEK - SHORE,728
8016,N,NA,NA,LYON CREEK,318
8405,Y,NA,NA,LYON CREEK,709
8638,N,NA,NA,LYON CREEK,740
8164,Y,NA,NA,MACINTYRE CREEK,701
8301,N,NA,NA,MACINTYRE CREEK,750
8520,NA,NA,NA,MACINTYRE CREEK,710
8217,NA,NA,NA,MACKIN CREEK,749
8890,N,NA,NA,MACLAING CREEK,732
8017,N,NA,NA,MAD RIVER,318
8165,N,NA,NA,MAHOOD CREEK,701
8302,N,NA,NA,MAHOOD CREEK,750
8521,N,NA,NA,MAHOOD CREEK,710
8025,Y,NA,NA,MAHOOD RIVER,319
8406,N,NA,NA,MAHOOD RIVER,709
7941,NA,NA,NA,MAKA CREEK,317
8026,N,NA,NA,MANN CREEK,319
8407,Y,NA,NA,MANN CREEK,709
8522,NA,NA,NA,MANN CREEK,710
8639,N,NA,NA,MANN CREEK,740
8849,N,NA,NA,MARA LAKE,739
7919,N,NA,NA,MARIA SLOUGH,307
8166,N,NA,NA,MARIA SLOUGH,701
8303,N,NA,NA,MARIA SLOUGH,750
8523,N,NA,NA,MARIA SLOUGH,710
8167,N,NA,NA,MARSHALL CREEK,701
8304,N,NA,NA,MARSHALL CREEK,750
8726,N,NA,NA,MARTEN CREEK,728
8727,N,NA,NA,MARTEN CREEK - SHORE,728
8891,N,NA,NA,MCDOUGALL CREEK,732
8060,Y,NA,NA,MCGREGOR RIVER,312
8061,Y,NA,NA,MCKALE RIVER,312
8244,N,NA,NA,MCKENZIE CREEK,704
7968,N,NA,NA,MCKINLEY CREEK,310
8218,Y,NA,NA,MCKINLEY CREEK,749
8728,Y,NA,NA,MCKINLEY CREEK,728
8729,Y,NA,NA,MCKINLEY CREEK - UPPER,728
8305,N,NA,NA,MCLENNAN CREEK,750
8443,N,NA,NA,MCNOMEE CREEK,708
8780,N,NA,NA,MCNOMEE CREEK,738
8850,N,NA,NA,MCNOMEE CREEK,739
8018,N,NA,NA,MCTAGGART CREEK,318
8408,N,NA,NA,MCTAGGART CREEK,709
8306,N,NA,NA,MIAMI CREEK,750
7996,N,NA,NA,MIDDLE RIVER,311
8911,NA,NA,NA,MIDDLE RIVER,731
8892,N,NA,NA,MIDDLE RIVER (ROSSETTE BAR),732
8912,N,NA,NA,MIDDLE RIVER (ROSSETTE BAR),731
8409,Y,NA,NA,MILEDGE CREEK,709
8245,N,NA,NA,MILLER CREEK,704
8646,N,NA,NA,MILLER CREEK,716
7969,NA,NA,NA,MINTON CREEK,310
8219,N,NA,NA,MINTON CREEK,749
7997,N,NA,NA,MITCHELL RIVER,311
8220,N,NA,NA,MITCHELL RIVER,749
8730,Y,NA,NA,MITCHELL RIVER,728
8731,N,NA,NA,MOFFAT CREEK,728
8851,N,NA,NA,MOMICH LAKE,739
8444,Y,NA,NA,MOMICH RIVER,708
8585,N,NA,NA,MOMICH RIVER,751
8852,Y,NA,NA,MOMICH RIVER,739
8853,N,NA,NA,MOMICH RIVER - SHORE,739
8586,N,NA,NA,MOMICH RIVER - UPPER,751
8062,Y,NA,NA,MORKILL RIVER,312
8168,N,NA,NA,MOUNTAIN SLOUGH,701
8307,N,NA,NA,MOUNTAIN SLOUGH,750
8019,NA,NA,NA,MUD CREEK,318
8934,N,NA,NA,MURRAY CREEK,906
8308,N,NA,NA,MUSQUEAM CREEK,750
8309,N,NA,NA,MYSTERY CREEK,750
8620,N,NA,NA,MYSTERY CREEK,713
7970,NA,NA,NA,NADINA RIVER,310
8655,Y,NA,NA,NADINA RIVER,727
8656,NA,NA,NA,NADINA RIVER - UPPER,727
8200,NA,NA,NA,NAHATLATCH LAKE,705
8657,Y,NA,NA,NAHATLATCH LAKE,718
7917,N,NA,NA,NAHATLATCH RIVER,308
8201,Y,NA,NA,NAHATLATCH RIVER,705
8524,Y,NA,NA,NAHATLATCH RIVER,710
8658,Y,NA,NA,NAHATLATCH RIVER,718
7998,NA,NA,NA,NANCUT CREEK,311
7971,N,NA,NA,NARCOSLI CREEK,310
8525,N,NA,NA,NARCOSLI CREEK,710
8893,Y,NA,NA,NARROWS CREEK,732
7999,NA,NA,NA,NATAZUTLO CREEK,311
8169,N,NA,NA,NATHAN CREEK,701
8310,N,NA,NA,NATHAN CREEK,750
7972,N,NA,NA,NAVER CREEK,310
8526,NA,NA,NA,NAVER CREEK,710
7973,Y,NA,NA,NAZKO RIVER,310
8221,N,NA,NA,NAZKO RIVER,749
8000,Y,NA,NA,NECHAKO RIVER,311
8222,N,NA,NA,NECHAKO RIVER,749
8527,NA,NA,NA,NECHAKO RIVER,710
8223,NA,NA,NA,NECHAKO RIVER - UPPER,749
8001,NA,NA,NA,NECOSLIE RIVER,311
8170,N,NA,NA,NESAKWATCH CREEK,701
8311,N,NA,NA,NESAKWATCH CREEK,750
8528,N,NA,NA,NESAKWATCH CREEK,710
8063,Y,NA,NA,NEVIN CREEK,312
8312,N,NA,NA,NEVIN CREEK,750
8732,N,NA,NA,NIAGARA CREEK,728
8035,N,NA,NA,NICKLEN CREEK,316
8445,Y,NA,NA,NICKLEN CREEK,708
