"","drv_regionid","region","region_abbr","species_name","species_abbr","pooledcuid","cuid","primarycu","cu_name_pse","cu_name_dfo","cu_index","gen_length","regionid","sppqualifiedid"
"37",1,"Skeena","SKNA","River sockeye","SER",226,226,TRUE,"Skeena River (river-type)","Skeena River","SER-18",5,1,2
"38",1,"Skeena","SKNA","Pink (odd)","PKO",209,209,TRUE,"Lower Skeena River (odd)","Lower Skeena (odd)","PKO-15",2,1,3
"39",1,"Skeena","SKNA","Pink (odd)","PKO",213,213,TRUE,"Middle-Upper Skeena (odd)","Middle & Upper Skeena (odd)","PKO-16",2,1,3
"40",1,"Skeena","SKNA","Pink (odd)","PKO",223,223,TRUE,"Nass-Skeena Estuary (odd)","Nass-Skeena Estuary (odd)","PKO-14",2,1,3
"41",1,"Skeena","SKNA","Pink (even)","PKE",218,218,TRUE,"Middle-Upper Skeena (even)","Middle-Upper Skeena (even)","PKE-8",2,1,4
"42",1,"Skeena","SKNA","Pink (even)","PKE",219,219,TRUE,"Nass-Skeena Estuary (even)","Nass-Skeena Estuary (even)","PKE-7",2,1,4
"43",1,"Skeena","SKNA","Chinook","CK",205,205,TRUE,"Ecstall","Ecstall","CK-46",6,1,5
"44",1,"Skeena","SKNA","Chinook","CK",206,206,TRUE,"Kalum-Early","Kalum-early timing","CK-49",6,1,5
"45",1,"Skeena","SKNA","Chinook","CK",207,207,TRUE,"Kalum-Late","Kalum-late timing","CK-50",6,1,5
"46",1,"Skeena","SKNA","Chinook","CK",210,210,TRUE,"Lower Skeena","Lower Skeena-CK","CK-48",6,1,5
"47",1,"Skeena","SKNA","Chinook","CK",212,212,TRUE,"Upper Skeena","Upper Skeena-CK","CK-56",6,1,5
"48",1,"Skeena","SKNA","Chinook","CK",217,217,TRUE,"Middle Skeena-Mainstem Tributaries","Middle Skeena-mainstem tributaries","CK-54",6,1,5
"49",1,"Skeena","SKNA","Chinook","CK",221,221,TRUE,"Upper Bulkley River","Upper Bulkley River","CK-55",6,1,5
"50",1,"Skeena","SKNA","Chinook","CK",222,222,TRUE,"Middle Skeena-Large Lakes","Middle Skeena-large lakes","CK-53",6,1,5
"51",1,"Skeena","SKNA","Chinook","CK",224,224,TRUE,"Skeena Estuary","Skeena Estuary-CK","CK-45",6,1,5
"52",1,"Skeena","SKNA","Chinook","CK",227,227,TRUE,"Lakelse","Lakelse-CK","CK-51",6,1,5
"53",1,"Skeena","SKNA","Chinook","CK",229,229,TRUE,"Zymoetz","Zymoetz","CK-80",6,1,5
"54",1,"Skeena","SKNA","Chinook","CK",241,241,TRUE,"Sicintine","Sicintine","CK-81",-989898,1,5
"55",1,"Skeena","SKNA","Coho","CO",202,202,TRUE,"Lower Skeena","Lower Skeena-CO","CO-32",4,1,6
"56",1,"Skeena","SKNA","Coho","CO",215,215,TRUE,"Middle Skeena","Middle Skeena-CO","CO-33",4,1,6
"57",1,"Skeena","SKNA","Coho","CO",225,225,TRUE,"Skeena Estuary","Skeena Estuary-CO","CO-31",4,1,6
"58",1,"Skeena","SKNA","Coho","CO",231,231,TRUE,"Upper Skeena","Upper Skeena-CO","CO-34",4,1,6
"59",1,"Skeena","SKNA","Chum","CM",211,211,TRUE,"Lower Skeena","Lower Skeena-CM","CM-27",4,1,7
"60",1,"Skeena","SKNA","Chum","CM",214,214,TRUE,"Middle Skeena","Middle Skeena-CM","CM-28",4,1,7
"61",1,"Skeena","SKNA","Chum","CM",220,220,TRUE,"Skeena Estuary","Skeena Estuary-CM","CM-26",4,1,7
"62",1,"Skeena","SKNA","Chum","CM",242,242,TRUE,"Upper Skeena","Upper Skeena","-989898",-989898,1,7
"63",1,"Skeena","SKNA","Steelhead","SH",280,280,TRUE,"Upper Skeena Headwaters","Upper Skeena Headwaters","-989898",-989898,1,10
"64",1,"Skeena","SKNA","Steelhead","SH",281,281,TRUE,"Upper Sustut","Upper Sustut","-989898",-989898,1,10
"65",1,"Skeena","SKNA","Steelhead","SH",282,282,TRUE,"Upper Skeena","Upper Skeena","-989898",-989898,1,10
"66",1,"Skeena","SKNA","Steelhead","SH",283,283,TRUE,"Kispiox","Kispiox","-989898",-989898,1,10
"67",1,"Skeena","SKNA","Steelhead","SH",284,284,TRUE,"Babine","Babine","-989898",-989898,1,10
"68",1,"Skeena","SKNA","Steelhead","SH",285,285,TRUE,"Middle Skeena","Middle Skeena","-989898",-989898,1,10
"69",1,"Skeena","SKNA","Steelhead","SH",286,286,TRUE,"Suskwa","Suskwa","-989898",-989898,1,10
"70",1,"Skeena","SKNA","Steelhead","SH",287,287,TRUE,"Bulkley","Bulkley","-989898",-989898,1,10
"71",1,"Skeena","SKNA","Steelhead","SH",288,288,TRUE,"Skeena Coastal Summers","Skeena Coastal Summers","-989898",-989898,1,10
"72",1,"Skeena","SKNA","Steelhead","SH",289,289,TRUE,"Morice","Morice","-989898",-989898,1,10
"73",1,"Skeena","SKNA","Steelhead","SH",290,290,TRUE,"Skeena Coastal Winters","Skeena Coastal Winters","-989898",-989898,1,10
"74",2,"Nass","NASS","Lake sockeye","SEL",418,418,TRUE,"Clements","Clements","SEL-23-01",-989898,2,1
"75",2,"Nass","NASS","Lake sockeye","SEL",419,419,TRUE,"Leverson","Leverson","SEL-23-02",-989898,2,1
"76",2,"Nass","NASS","Lake sockeye","SEL",420,420,TRUE,"Bowser","Bowser","SEL-24-01",-989898,2,1
"77",2,"Nass","NASS","Lake sockeye","SEL",421,421,TRUE,"Damdochax","Damdochax","SEL-24-02",-989898,2,1
"78",2,"Nass","NASS","Lake sockeye","SEL",422,422,TRUE,"Fred Wright","Fred Wright","SEL-24-03",-989898,2,1
"79",2,"Nass","NASS","Lake sockeye","SEL",423,423,TRUE,"Kwinageese","Kwinageese","SEL-24-04",-989898,2,1
"80",2,"Nass","NASS","Lake sockeye","SEL",424,424,TRUE,"Meziadin","Meziadin","SEL-24-05",-989898,2,1
"81",2,"Nass","NASS","Lake sockeye","SEL",425,425,TRUE,"Oweegee","Oweegee","SEL-24-06",-989898,2,1
"82",2,"Nass","NASS","River sockeye","SER",426,426,TRUE,"Lower Nass-Portland (river-type)","Lower Nass-Portland","SER-20",-989898,2,2
"83",2,"Nass","NASS","River sockeye","SER",427,427,TRUE,"Upper Nass River (river-type)","Upper Nass River","SER-21",-989898,2,2
"84",2,"Nass","NASS","Pink (odd)","PKO",414,414,TRUE,"Nass-Portland-Observatory (odd)","Nass-Portland-Observatory","PKO-17",-989898,2,3
"85",2,"Nass","NASS","Pink (odd)","PKO",415,415,TRUE,"Upper Nass (odd)","Upper Nass","PKO-18",-989898,2,3
"86",2,"Nass","NASS","Pink (even)","PKE",412,412,TRUE,"Upper Nass (even)","Upper Nass","PKE-12",-989898,2,4
"87",2,"Nass","NASS","Chinook","CK",401,401,TRUE,"Portland Sound-Observatory Inlet-Lower Nass","Portland Sound-Observatory Inlet-Lower Nass","CK-57",-989898,2,5
"88",2,"Nass","NASS","Chinook","CK",402,402,TRUE,"Upper Nass","Upper Nass","CK-58",-989898,2,5
"89",2,"Nass","NASS","Coho","CO",408,408,TRUE,"Lower Nass","Lower Nass","CO-35",-989898,2,6
"90",2,"Nass","NASS","Coho","CO",409,409,TRUE,"Upper Nass","Upper Nass","CO-36",-989898,2,6
"91",2,"Nass","NASS","Coho","CO",410,410,TRUE,"Portland Sound-Observatory Inlet-Portland Canal","Portland Sound-Observatory Inlet-Portland Canal","CO-37",-989898,2,6
"92",2,"Nass","NASS","Chum","CM",404,404,TRUE,"Portland Inlet","Portland Inlet","CM-30",-989898,2,7
"93",2,"Nass","NASS","Chum","CM",405,405,TRUE,"Lower Nass","Lower Nass","CM-31",-989898,2,7
"94",2,"Nass","NASS","Chum","CM",406,406,TRUE,"Portland Canal-Observatory","Portland Canal-Observatory","CM-32",-989898,2,7
"95",2,"Nass","NASS","Steelhead","SH",480,480,TRUE,"Nass Summer","Nass Summer","-989898",-989898,2,10
"96",2,"Nass","NASS","Steelhead","SH",481,481,TRUE,"Nass Winter","Nass Winter","-989898",-989898,2,10
"97",3,"Central Coast","CC","Lake sockeye","SEL",524,524,TRUE,"Long","Long (Sockeye-Lake)","SEL-15-01",-989898,3,1
"98",3,"Central Coast","CC","Lake sockeye","SEL",525,525,TRUE,"Owikeno","Owikeno (Sockeye-Lake)","SEL-15-02",-989898,3,1
"99",3,"Central Coast","CC","Lake sockeye","SEL",527,527,TRUE,"Wannock (Owikeno)","Wannock[Owikeno] (Sockeye-Lake)","SEL-15-04",-989898,3,1
"100",3,"Central Coast","CC","Lake sockeye","SEL",528,528,TRUE,"South Atnarko Lakes","South Atnarko Lakes (Sockeye-Lake)","SX_528",-989898,3,1
"101",3,"Central Coast","CC","Lake sockeye","SEL",529,529,TRUE,"Backland","Backland (Sockeye-Lake)","SEL-18-01",-989898,3,1
"102",3,"Central Coast","CC","Lake sockeye","SEL",530,530,TRUE,"Soda Creek","Soda Creek (Sockeye-Lake)","SEL-18-10",-989898,3,1
"103",3,"Central Coast","CC","Lake sockeye","SEL",532,532,TRUE,"Canoona","Canoona (Sockeye-Lake)","SEL-18-02",-989898,3,1
"104",3,"Central Coast","CC","Lake sockeye","SEL",533,533,TRUE,"Dome","Dome (Sockeye-Lake)","SEL-18-03",-989898,3,1
"105",3,"Central Coast","CC","Lake sockeye","SEL",534,534,TRUE,"Evelyn","Evelyn (Sockeye-Lake)","SEL-18-04",-989898,3,1
"106",3,"Central Coast","CC","Lake sockeye","SEL",535,535,TRUE,"Kainet Creek","Kainet Creek (Sockeye-Lake)","SEL-18-05",-989898,3,1
"107",3,"Central Coast","CC","Lake sockeye","SEL",536,536,TRUE,"Kimsquit","Kimsquit (Sockeye-Lake)","SEL-18-06",-989898,3,1
"108",3,"Central Coast","CC","Lake sockeye","SEL",537,537,TRUE,"Kitkiata","Kitkiata (Sockeye-Lake)","SEL-18-07",-989898,3,1
"109",3,"Central Coast","CC","Lake sockeye","SEL",538,538,TRUE,"Kitlope","Kitlope (Sockeye-Lake)","SEL-18-08",-989898,3,1
"110",3,"Central Coast","CC","Lake sockeye","SEL",539,539,TRUE,"Pine River","Pine River (Sockeye-Lake)","SEL-18-09",-989898,3,1
"111",3,"Central Coast","CC","Lake sockeye","SEL",540,540,TRUE,"Banks","Banks (Sockeye-Lake)","SEL-19-01",-989898,3,1
"112",3,"Central Coast","CC","Lake sockeye","SEL",541,541,TRUE,"Bloomfield","Bloomfield (Sockeye-Lake)","SEL-19-02",-989898,3,1
"113",3,"Central Coast","CC","Lake sockeye","SEL",542,542,TRUE,"Bolton Creek","Bolton Creek (Sockeye-Lake)","SEL-19-03",-989898,3,1
"114",3,"Central Coast","CC","Lake sockeye","SEL",543,543,TRUE,"Bonilla","Bonilla (Sockeye-Lake)","SEL-19-04",-989898,3,1
"115",3,"Central Coast","CC","Lake sockeye","SEL",544,544,TRUE,"Borrowman Creek","Borrowman Creek (Sockeye-Lake)","SEL-19-05",-989898,3,1
"116",3,"Central Coast","CC","Lake sockeye","SEL",545,545,TRUE,"Busey Creek","Busey Creek (Sockeye-Lake)","SEL-19-06",-989898,3,1
"117",3,"Central Coast","CC","Lake sockeye","SEL",546,546,TRUE,"Cartwright Creek","Cartwright Creek (Sockeye-Lake)","SEL-19-07",-989898,3,1
"118",3,"Central Coast","CC","Lake sockeye","SEL",547,547,TRUE,"Chic Chic","Chic Chic (Sockeye-Lake)","SEL-19-08",-989898,3,1
"119",3,"Central Coast","CC","Lake sockeye","SEL",548,548,TRUE,"Citeyats","Citeyats (Sockeye-Lake)","SEL-19-09",-989898,3,1
"120",3,"Central Coast","CC","Lake sockeye","SEL",549,549,TRUE,"Fannie Cove","Fannie Cove (Sockeye-Lake)","SEL-19-10",-989898,3,1
"121",3,"Central Coast","CC","Lake sockeye","SEL",550,550,TRUE,"Curtis Inlet","Curtis Inlet (Sockeye-Lake)","SEL-19-11",-989898,3,1
"122",3,"Central Coast","CC","Lake sockeye","SEL",551,551,TRUE,"Dallain Creek","Dallain Creek (Sockeye-Lake)","SEL-19-12",-989898,3,1
"123",3,"Central Coast","CC","Lake sockeye","SEL",552,552,TRUE,"Deer","Deer (Sockeye-Lake)","SEL-19-13",-989898,3,1
"124",3,"Central Coast","CC","Lake sockeye","SEL",553,553,TRUE,"Devon","Devon (Sockeye-Lake)","SEL-19-14",-989898,3,1
"125",3,"Central Coast","CC","Lake sockeye","SEL",554,554,TRUE,"Douglas Creek","Douglas Creek (Sockeye-Lake)","SEL-19-15",-989898,3,1
"126",3,"Central Coast","CC","Lake sockeye","SEL",555,555,TRUE,"Elizabeth","Elizabeth (Sockeye-Lake)","SEL-19-16",-989898,3,1
"127",3,"Central Coast","CC","Lake sockeye","SEL",556,556,TRUE,"Elsie/Hoy","Elsie/Hoy (Sockeye-Lake)","SEL-19-17",-989898,3,1
"128",3,"Central Coast","CC","Lake sockeye","SEL",557,557,TRUE,"End Hill Creek","End Hill Creek (Sockeye-Lake)","SEL-19-18",-989898,3,1
"129",3,"Central Coast","CC","Lake sockeye","SEL",558,558,TRUE,"Evinrude Inlet","Evinrude Inlet (Sockeye-Lake)","SEL-19-19",-989898,3,1
"130",3,"Central Coast","CC","Lake sockeye","SEL",559,559,TRUE,"Freeda","Freeda (Sockeye-Lake)","SEL-19-20",-989898,3,1
"131",3,"Central Coast","CC","Lake sockeye","SEL",560,560,TRUE,"Hartley Bay","Hartley Bay (Sockeye-Lake)","SEL-19-21",-989898,3,1
"132",3,"Central Coast","CC","Lake sockeye","SEL",561,561,TRUE,"Hevenor Inlet","Hevenor Inlet (Sockeye-Lake)","SEL-19-22",-989898,3,1
"133",3,"Central Coast","CC","Lake sockeye","SEL",562,562,TRUE,"Higgins Lagoon","Higgins Lagoon (Sockeye-Lake)","SEL-19-23",-989898,3,1
"134",3,"Central Coast","CC","Lake sockeye","SEL",563,563,TRUE,"Kadjusdis River","Kadjusdis River (Sockeye-Lake)","SEL-19-24",-989898,3,1
"135",3,"Central Coast","CC","Lake sockeye","SEL",564,564,TRUE,"Kdelmashan Creek","Kdelmashan Creek (Sockeye-Lake)","SEL-19-25",-989898,3,1
"136",3,"Central Coast","CC","Lake sockeye","SEL",565,565,TRUE,"Keecha","Keecha (Sockeye-Lake)","SEL-19-26",-989898,3,1
"137",3,"Central Coast","CC","Lake sockeye","SEL",566,566,TRUE,"Kent Inlet Lagoon Creek","Kent Inlet Lagoon Creek (Sockeye-Lake)","SEL-19-27",-989898,3,1
"138",3,"Central Coast","CC","Lake sockeye","SEL",567,567,TRUE,"Kenzuwash Creeks","Kenzuwash Creeks (Sockeye-Lake)","SEL-19-28",-989898,3,1
"139",3,"Central Coast","CC","Lake sockeye","SEL",568,568,TRUE,"Keswar Creek","Keswar Creek (Sockeye-Lake)","SEL-19-29",-989898,3,1
"140",3,"Central Coast","CC","Lake sockeye","SEL",569,569,TRUE,"Kildidt Creek","Kildidt Creek (Sockeye-Lake)","SEL-19-30",-989898,3,1
"141",3,"Central Coast","CC","Lake sockeye","SEL",570,570,TRUE,"Kildidt Lagoon Creek","Kildidt Lagoon Creek (Sockeye-Lake)","SEL-19-31",-989898,3,1
"142",3,"Central Coast","CC","Lake sockeye","SEL",571,571,TRUE,"Kisameet","Kisameet (Sockeye-Lake)","SEL-19-32",-989898,3,1
"143",3,"Central Coast","CC","Lake sockeye","SEL",572,572,TRUE,"Koeye","Koeye (Sockeye-Lake)","SEL-19-33",-989898,3,1
"144",3,"Central Coast","CC","Lake sockeye","SEL",573,573,TRUE,"Kooryet","Kooryet (Sockeye-Lake)","SEL-19-34",-989898,3,1
"145",3,"Central Coast","CC","Lake sockeye","SEL",574,574,TRUE,"Kunsoot River","Kunsoot River (Sockeye-Lake)","SEL-19-35",-989898,3,1
"146",3,"Central Coast","CC","Lake sockeye","SEL",575,575,TRUE,"Kwakwa Creek","Kwakwa Creek (Sockeye-Lake)","SEL-19-36",-989898,3,1
"147",3,"Central Coast","CC","Lake sockeye","SEL",576,576,TRUE,"Lewis Creek","Lewis Creek (Sockeye-Lake)","SEL-19-37",-989898,3,1
"148",3,"Central Coast","CC","Lake sockeye","SEL",577,577,TRUE,"Limestone Creek","Limestone Creek (Sockeye-Lake)","SEL-19-38",-989898,3,1
"149",3,"Central Coast","CC","Lake sockeye","SEL",578,578,TRUE,"Lowe/Simpson/Weir","Lowe/Simpson/Weir (Sockeye-Lake)","SEL-19-39",-989898,3,1
"150",3,"Central Coast","CC","Lake sockeye","SEL",579,579,TRUE,"Mary Cove Creek","Mary Cove Creek (Sockeye-Lake)","SEL-19-40",-989898,3,1
"151",3,"Central Coast","CC","Lake sockeye","SEL",580,580,TRUE,"Mcdonald Creek","Mcdonald Creek (Sockeye-Lake)","SEL-19-41",-989898,3,1
"152",3,"Central Coast","CC","Lake sockeye","SEL",581,581,TRUE,"Mcloughlin","Mcloughlin (Sockeye-Lake)","SEL-19-42",-989898,3,1
"153",3,"Central Coast","CC","Lake sockeye","SEL",582,582,TRUE,"Mikado","Mikado (Sockeye-Lake)","SEL-19-43",-989898,3,1
"154",3,"Central Coast","CC","Lake sockeye","SEL",583,583,TRUE,"Monckton Inlet Creek","Monckton Inlet Creek (Sockeye-Lake)","SEL-19-44",-989898,3,1
"155",3,"Central Coast","CC","Lake sockeye","SEL",584,584,TRUE,"Namu","Namu (Sockeye-Lake)","SEL-19-45",-989898,3,1
"156",3,"Central Coast","CC","Lake sockeye","SEL",585,585,TRUE,"Port John","Port John (Sockeye-Lake)","SEL-19-46",-989898,3,1
"157",3,"Central Coast","CC","Lake sockeye","SEL",586,586,TRUE,"Powles Creek","Powles Creek (Sockeye-Lake)","SEL-19-47",-989898,3,1
"158",3,"Central Coast","CC","Lake sockeye","SEL",587,587,TRUE,"Price Creek","Price Creek (Sockeye-Lake)","SEL-19-48",-989898,3,1
"159",3,"Central Coast","CC","Lake sockeye","SEL",588,588,TRUE,"Roderick","Roderick (Sockeye-Lake)","SEL-19-50",-989898,3,1
"160",3,"Central Coast","CC","Lake sockeye","SEL",589,589,TRUE,"Ryan Creek","Ryan Creek (Sockeye-Lake)","SEL-19-51",-989898,3,1
"161",3,"Central Coast","CC","Lake sockeye","SEL",590,590,TRUE,"Salter","Salter (Sockeye-Lake)","SEL-19-52",-989898,3,1
"162",3,"Central Coast","CC","Lake sockeye","SEL",591,591,TRUE,"Scoular/Kilpatrick","Scoular/Kilpatrick (Sockeye-Lake)","SEL-19-53",-989898,3,1
"163",3,"Central Coast","CC","Lake sockeye","SEL",592,592,TRUE,"Sheneeza Inlet","Sheneeza Inlet (Sockeye-Lake)","SEL-19-55",-989898,3,1
"164",3,"Central Coast","CC","Lake sockeye","SEL",593,593,TRUE,"Ship Point Creek","Ship Point Creek (Sockeye-Lake)","SEL-19-56",-989898,3,1
"165",3,"Central Coast","CC","Lake sockeye","SEL",594,594,TRUE,"Spencer Creek","Spencer Creek (Sockeye-Lake)","SEL-19-57",-989898,3,1
"166",3,"Central Coast","CC","Lake sockeye","SEL",595,595,TRUE,"Stannard Creek","Stannard Creek (Sockeye-Lake)","SEL-19-58",-989898,3,1
"167",3,"Central Coast","CC","Lake sockeye","SEL",596,596,TRUE,"Talamoosa Creek","Talamoosa Creek (Sockeye-Lake)","SEL-19-59",-989898,3,1
"168",3,"Central Coast","CC","Lake sockeye","SEL",597,597,TRUE,"Tankeeah River","Tankeeah River (Sockeye-Lake)","SEL-19-60",-989898,3,1
"169",3,"Central Coast","CC","Lake sockeye","SEL",598,598,TRUE,"Treneman Creek","Treneman Creek (Sockeye-Lake)","SEL-19-61",-989898,3,1
"170",3,"Central Coast","CC","Lake sockeye","SEL",599,599,TRUE,"Tsimtack/Moore/Roger","Tsimtack/Moore/Roger (Sockeye-Lake)","SEL-19-62",-989898,3,1
"171",3,"Central Coast","CC","Lake sockeye","SEL",600,600,TRUE,"Tuno Creek East","Tuno Creek East (Sockeye-Lake)","SEL-19-63",-989898,3,1
"172",3,"Central Coast","CC","Lake sockeye","SEL",601,601,TRUE,"Tuno Creek West","Tuno Creek West (Sockeye-Lake)","SEL-19-64",-989898,3,1
"173",3,"Central Coast","CC","Lake sockeye","SEL",602,602,TRUE,"Tyler Creek","Tyler Creek (Sockeye-Lake)","SEL-19-65",-989898,3,1
"174",3,"Central Coast","CC","Lake sockeye","SEL",603,603,TRUE,"Wale Creek","Wale Creek (Sockeye-Lake)","SEL-19-66",-989898,3,1
"175",3,"Central Coast","CC","Lake sockeye","SEL",604,604,TRUE,"Watt Bay","Watt Bay (Sockeye-Lake)","SEL-19-67",-989898,3,1
"176",3,"Central Coast","CC","Lake sockeye","SEL",605,605,TRUE,"West Creek","West Creek (Sockeye-Lake)","SEL-19-68",-989898,3,1
"177",3,"Central Coast","CC","Lake sockeye","SEL",606,606,TRUE,"Yaaklele Lagoon","Yaaklele Lagoon (Sockeye-Lake)","SEL-19-69",-989898,3,1
"178",3,"Central Coast","CC","Lake sockeye","SEL",607,607,TRUE,"Yeo","Yeo (Sockeye-Lake)","SEL-19-70",-989898,3,1
"179",3,"Central Coast","CC","River sockeye","SER",613,613,TRUE,"Rivers-Smith Inlets (river-type)","Rivers-Smith Inlets (Sockeye-River)","SER-12",-989898,3,2
"180",3,"Central Coast","CC","River sockeye","SER",614,614,TRUE,"Northern Coastal Fjords (river-type)","Northern Coastal Fjords (Sockeye-River)","SER-16",-989898,3,2
"181",3,"Central Coast","CC","River sockeye","SER",615,615,TRUE,"Northern Coastal Streams (river-type)","Northn Coastal Streams (Sockeye-River)","SER-17",-989898,3,2
"182",3,"Central Coast","CC","Pink (odd)","PKO",610,610,TRUE,"Homathko-Klinaklini-Smith-Rivers-Bella Coola-Dean (odd)","Homathko-Klinaklini-Smith-Rivers-Bella Coola-Dean (Pink-Odd Year)","PKO-8",-989898,3,3
"183",3,"Central Coast","CC","Pink (odd)","PKO",611,611,TRUE,"Hecate Strait-Lowlands (odd)","Hecate Strait-Lowlands (Pink-Odd Year)","PKO-12",-989898,3,3
"184",3,"Central Coast","CC","Pink (odd)","PKO",612,612,TRUE,"Hecate Strait-Fjords (odd)","Hecate Strait-Fjords (Pink-Odd Year)","PKO-13",-989898,3,3
"185",3,"Central Coast","CC","Pink (even)","PKE",608,608,TRUE,"Hecate Lowlands (even)","Hecate Lowlands (Pink-Even Year)","PKE-5",-989898,3,4
"186",3,"Central Coast","CC","Pink (even)","PKE",609,609,TRUE,"Hecate Strait-Fjords (even)","Hecate Strait-Fjords (Pink-Even Year)","PKE-6",-989898,3,4
"187",3,"Central Coast","CC","Chinook","CK",509,509,TRUE,"Docee","Docee (Chinook)","CK-36",-989898,3,5
"188",3,"Central Coast","CC","Chinook","CK",510,510,TRUE,"Rivers Inlet","Rivers Inlet (Chinook)","CK-37",-989898,3,5
