"region","species_name","species_pooled","cuid","cu_name_pse","psf_status"
"Nass","Lake sockeye","Sockeye",425,"Oweegee","data-deficient"
"Nass","Pink (even)","Pink",412,"Upper Nass (even)","data-deficient"
"Nass","Pink (odd)","Pink",414,"Nass-Portland-Observatory (odd)","good"
"Nass","Pink (odd)","Pink",415,"Upper Nass (odd)","data-deficient"
"Nass","River sockeye","Sockeye",426,"Lower Nass-Portland (river-type)","good"
"Nass","River sockeye","Sockeye",427,"Upper Nass River (river-type)","data-deficient"
"Nass","Steelhead","Steelhead",480,"Nass Summer","fair"
"Nass","Steelhead","Steelhead",481,"Nass Winter","data-deficient"
"Central Coast","Chinook","Chinook",512,"Bella Coola-Bentinck","good"
"Central Coast","Chinook","Chinook",513,"Dean River","good"
"Central Coast","Chinook","Chinook",509,"Docee","data-deficient"
"Central Coast","Chinook","Chinook",515,"North & Central Coast-Early","good"
"Central Coast","Chinook","Chinook",514,"North & Central Coast-Late","data-deficient"
"Central Coast","Chinook","Chinook",510,"Rivers Inlet","poor"
"Central Coast","Chinook","Chinook",511,"Wannock","good"
"Central Coast","Chum","Chum",504,"Bella Coola-Dean Rivers","fair"
"Central Coast","Chum","Chum",505,"Bella Coola River-Late","data-deficient"
"Central Coast","Chum","Chum",508,"Douglas-Gardner","poor"
"Central Coast","Chum","Chum",506,"Hecate Lowlands","poor"
"Central Coast","Chum","Chum",507,"Mussel-Kynoch","poor"
"Central Coast","Chum","Chum",501,"Rivers Inlet","poor"
"Central Coast","Chum","Chum",500,"Smith Inlet","poor"
"Central Coast","Chum","Chum",503,"Spiller-Fitz-Hugh-Burke","fair"
"Central Coast","Chum","Chum",502,"Wannock","data-deficient"
"Central Coast","Coho","Coho",518,"Bella Coola-Dean Rivers","fair"
"Central Coast","Coho","Coho",521,"Brim-Wahoo","good"
"Central Coast","Coho","Coho",522,"Douglas Channel-Kitimat Arm","good"
"Central Coast","Coho","Coho",520,"Hecate Strait Mainland","fair"
"Central Coast","Coho","Coho",519,"Mussel-Kynoch","poor"
"Central Coast","Coho","Coho",523,"Northern Coastal Streams","good"
"Central Coast","Coho","Coho",517,"Rivers Inlet","data-deficient"
"Central Coast","Coho","Coho",516,"Smith Inlet","data-deficient"
"Central Coast","Lake sockeye","Sockeye",529,"Backland","poor"
"Central Coast","Lake sockeye","Sockeye",540,"Banks","data-deficient"
"Central Coast","Lake sockeye","Sockeye",541,"Bloomfield","fair"
"Central Coast","Lake sockeye","Sockeye",542,"Bolton Creek","data-deficient"
"Central Coast","Lake sockeye","Sockeye",543,"Bonilla","data-deficient"
"Central Coast","Lake sockeye","Sockeye",544,"Borrowman Creek","data-deficient"
"Central Coast","Lake sockeye","Sockeye",545,"Busey Creek","data-deficient"
"Central Coast","Lake sockeye","Sockeye",532,"Canoona","good"
"Central Coast","Lake sockeye","Sockeye",546,"Cartwright Creek","data-deficient"
"Central Coast","Lake sockeye","Sockeye",547,"Chic Chic","data-deficient"
"Central Coast","Lake sockeye","Sockeye",548,"Citeyats","data-deficient"
"Central Coast","Lake sockeye","Sockeye",550,"Curtis Inlet","data-deficient"
"Central Coast","Lake sockeye","Sockeye",551,"Dallain Creek","data-deficient"
"Central Coast","Lake sockeye","Sockeye",552,"Deer","data-deficient"
"Central Coast","Lake sockeye","Sockeye",553,"Devon","fair"
"Central Coast","Lake sockeye","Sockeye",533,"Dome","data-deficient"
"Central Coast","Lake sockeye","Sockeye",554,"Douglas Creek","data-deficient"
"Central Coast","Lake sockeye","Sockeye",555,"Elizabeth","data-deficient"
"Central Coast","Lake sockeye","Sockeye",556,"Elsie/Hoy","data-deficient"
"Central Coast","Lake sockeye","Sockeye",557,"End Hill Creek","data-deficient"
"Central Coast","Lake sockeye","Sockeye",534,"Evelyn","good"
"Central Coast","Lake sockeye","Sockeye",558,"Evinrude Inlet","data-deficient"
"Central Coast","Lake sockeye","Sockeye",549,"Fannie Cove","data-deficient"
"Central Coast","Lake sockeye","Sockeye",559,"Freeda","data-deficient"
"Central Coast","Lake sockeye","Sockeye",560,"Hartley Bay","good"
"Central Coast","Lake sockeye","Sockeye",561,"Hevenor Inlet","data-deficient"
"Central Coast","Lake sockeye","Sockeye",562,"Higgins Lagoon","data-deficient"
"Central Coast","Lake sockeye","Sockeye",563,"Kadjusdis River","good"
"Central Coast","Lake sockeye","Sockeye",535,"Kainet Creek","good"
"Central Coast","Lake sockeye","Sockeye",564,"Kdelmashan Creek","data-deficient"
"Central Coast","Lake sockeye","Sockeye",565,"Keecha","good"
"Central Coast","Lake sockeye","Sockeye",566,"Kent Inlet Lagoon Creek","data-deficient"
"Central Coast","Lake sockeye","Sockeye",567,"Kenzuwash Creeks","data-deficient"
"Central Coast","Lake sockeye","Sockeye",568,"Keswar Creek","data-deficient"
"Central Coast","Lake sockeye","Sockeye",569,"Kildidt Creek","data-deficient"
"Central Coast","Lake sockeye","Sockeye",570,"Kildidt Lagoon Creek","data-deficient"
"Central Coast","Lake sockeye","Sockeye",536,"Kimsquit","data-deficient"
"Central Coast","Lake sockeye","Sockeye",571,"Kisameet","data-deficient"
"Central Coast","Lake sockeye","Sockeye",537,"Kitkiata","data-deficient"
"Central Coast","Lake sockeye","Sockeye",538,"Kitlope","poor"
"Central Coast","Lake sockeye","Sockeye",572,"Koeye","good"
"Central Coast","Lake sockeye","Sockeye",573,"Kooryet","poor"
"Central Coast","Lake sockeye","Sockeye",574,"Kunsoot River","data-deficient"
"Central Coast","Lake sockeye","Sockeye",575,"Kwakwa Creek","data-deficient"
"Central Coast","Lake sockeye","Sockeye",576,"Lewis Creek","data-deficient"
"Central Coast","Lake sockeye","Sockeye",577,"Limestone Creek","data-deficient"
"Central Coast","Lake sockeye","Sockeye",524,"Long","data-deficient"
"Central Coast","Lake sockeye","Sockeye",578,"Lowe/Simpson/Weir","poor"
"Central Coast","Lake sockeye","Sockeye",579,"Mary Cove Creek","poor"
"Central Coast","Lake sockeye","Sockeye",580,"Mcdonald Creek","data-deficient"
"Central Coast","Lake sockeye","Sockeye",581,"Mcloughlin","data-deficient"
"Central Coast","Lake sockeye","Sockeye",582,"Mikado","good"
"Central Coast","Lake sockeye","Sockeye",583,"Monckton Inlet Creek","data-deficient"
"Central Coast","Lake sockeye","Sockeye",584,"Namu","good"
"Central Coast","Lake sockeye","Sockeye",525,"Owikeno","poor"
"Central Coast","Lake sockeye","Sockeye",539,"Pine River","data-deficient"
"Central Coast","Lake sockeye","Sockeye",585,"Port John","good"
"Central Coast","Lake sockeye","Sockeye",586,"Powles Creek","data-deficient"
"Central Coast","Lake sockeye","Sockeye",587,"Price Creek","data-deficient"
"Central Coast","Lake sockeye","Sockeye",588,"Roderick","poor"
"Central Coast","Lake sockeye","Sockeye",589,"Ryan Creek","data-deficient"
"Central Coast","Lake sockeye","Sockeye",590,"Salter","data-deficient"
"Central Coast","Lake sockeye","Sockeye",591,"Scoular/Kilpatrick","data-deficient"
"Central Coast","Lake sockeye","Sockeye",592,"Sheneeza Inlet","data-deficient"
"Central Coast","Lake sockeye","Sockeye",593,"Ship Point Creek","data-deficient"
"Central Coast","Lake sockeye","Sockeye",530,"Soda Creek","data-deficient"
"Central Coast","Lake sockeye","Sockeye",528,"South Atnarko Lakes","data-deficient"
"Central Coast","Lake sockeye","Sockeye",594,"Spencer Creek","data-deficient"
"Central Coast","Lake sockeye","Sockeye",595,"Stannard Creek","data-deficient"
"Central Coast","Lake sockeye","Sockeye",596,"Talamoosa Creek","data-deficient"
"Central Coast","Lake sockeye","Sockeye",597,"Tankeeah River","poor"
"Central Coast","Lake sockeye","Sockeye",598,"Treneman Creek","data-deficient"
"Central Coast","Lake sockeye","Sockeye",599,"Tsimtack/Moore/Roger","good"
"Central Coast","Lake sockeye","Sockeye",600,"Tuno Creek East","data-deficient"
"Central Coast","Lake sockeye","Sockeye",601,"Tuno Creek West","data-deficient"
"Central Coast","Lake sockeye","Sockeye",602,"Tyler Creek","data-deficient"
"Central Coast","Lake sockeye","Sockeye",603,"Wale Creek","data-deficient"
"Central Coast","Lake sockeye","Sockeye",527,"Wannock (Owikeno)","data-deficient"
"Central Coast","Lake sockeye","Sockeye",604,"Watt Bay","data-deficient"
"Central Coast","Lake sockeye","Sockeye",605,"West Creek","data-deficient"
