stock,year,2.50%,25%,50%,75%,97.50%,SD
Carmacks,2005,10381.44883,12045.64784,12956.10496,13822.18887,15480.16751,1274.679669
Teslin,2005,7857.069413,9614.56191,10541.0887,11467.58896,13220.02331,1340.738475
MiddleMainstem,2005,15975.92161,16261.44593,16412.16723,16556.90769,16834.07898,214.5393425
UpperLakesAndMainstem,2005,6349.577187,6498.078351,6577.902812,6657.764594,6808.487175,114.7274972
LowerMainstem,2006,15468.20551,16037.51102,16336.96794,16633.39607,17204.00029,433.948694
WhiteDonjek,2006,1493.41123,3102.354925,3994.757038,4910.189341,6607.744074,1278.583211
Pelly,2006,12678.55476,14273.83863,15091.33692,15934.8523,17506.14727,1206.898128
Stewart,2006,1518.802912,1658.22616,1732.464177,1805.618707,1950.646789,107.9609694
Carmacks,2006,18445.04774,20081.74293,20930.99182,21769.38699,23317.76244,1218.178675
Teslin,2006,2405.437399,4233.581005,5210.084776,6183.34745,8015.802162,1402.591191
MiddleMainstem,2006,7293.979912,7498.759955,7604.359897,7712.319133,7923.060582,157.2701674
UpperLakesAndMainstem,2006,2426.076015,2528.026977,2579.05381,2631.499344,2733.824612,76.93714923
LowerMainstem,2007,2939.146948,4159.105263,4819.388294,5470.657096,6719.897866,945.1877296
WhiteDonjek,2007,6289.676875,6534.731725,6659.565661,6788.702019,7033.765431,186.022139
Pelly,2007,8583.773981,9817.839391,10482.96858,11143.59877,12416.73907,958.2412712
Stewart,2007,2207.82502,2571.419446,2762.54014,2954.583555,3293.383035,271.3895037
Carmacks,2007,5638.127496,5885.546518,6011.79089,6137.490876,6382.194331,186.0167089
Teslin,2007,6827.54917,7164.250128,7336.576252,7511.466449,7835.875917,252.0816867
MiddleMainstem,2007,2346.255299,2463.630424,2525.517828,2587.790049,2709.364246,90.77723683
UpperLakesAndMainstem,2007,1351.768471,1412.428215,1444.873221,1476.921388,1537.308989,46.38512956
LowerMainstem,2008,4349.696826,4857.772619,5122.099405,5390.455442,5900.574085,387.7193147
WhiteDonjek,2008,1226.995148,1646.338473,1866.405568,2081.03979,2491.884984,316.2224591
Pelly,2008,3870.895203,4292.932357,4546.168171,4800.428846,5223.703555,338.2020882
Stewart,2008,2518.994815,2605.876387,2649.229708,2693.064938,2776.327963,64.33328702
Carmacks,2008,2485.457399,2893.417385,3172.330574,9794.394224,10169.60707,1921.037417
Teslin,2008,989.0429172,1455.219137,8848.12778,9143.246509,9583.470244,2148.606832
MiddleMainstem,2008,7506.797145,7736.031385,7875.165576,8025.999051,8293.248747,196.6129004
UpperLakesAndMainstem,2008,3931.76868,4056.993478,4118.947374,4184.257839,4306.494746,93.68151645
LowerMainstem,2009,6330.119782,7540.829204,8227.002957,8989.006108,10453.49294,1030.84329
WhiteDonjek,2009,4107.38094,5279.483286,6058.023693,13136.12398,15316.52209,2802.285287
Pelly,2009,12656.87566,13844.11767,14459.27006,15036.04987,16121.13532,866.0649159
Stewart,2009,5122.729289,5330.023956,5437.670813,5544.816224,5745.303104,155.6434538
Carmacks,2009,13399.20059,13760.41327,13950.3062,14138.63398,14499.11158,274.9777481
Teslin,2009,5041.230052,7030.415769,14533.53751,15329.35103,16475.96517,2858.68378
MiddleMainstem,2009,5587.327328,5770.161428,5863.376115,5958.719932,6138.115377,137.6970121
UpperLakesAndMainstem,2009,1505.909891,1564.784372,1596.650129,1627.838997,1686.524243,45.15358788
LowerMainstem,2010,2710.799764,3757.652038,4302.222955,4882.201662,5951.192823,810.0982649
WhiteDonjek,2010,3037.676821,4111.003911,4673.136951,5250.430873,6329.638844,822.9905059
Pelly,2010,3416.643177,3893.253919,4156.407667,4431.693211,4963.506332,386.7157887
Stewart,2010,1821.350992,1990.32271,2079.329377,2168.649289,2336.912452,128.8903649
Carmacks,2010,4982.484214,5608.986895,5946.52192,6222.041884,6633.294951,412.7026843
Teslin,2010,2463.792116,2983.565052,3245.718258,3521.052536,4032.892992,392.275219
MiddleMainstem,2010,7380.751582,7959.252206,8292.002402,8483.776132,8791.096352,352.5861926
UpperLakesAndMainstem,2010,2348.946511,2443.604897,2495.803009,2542.134437,2620.91437,67.99196482
LowerMainstem,2011,2231.924773,2907.001421,3260.810934,3612.022509,4310.260205,519.5838581
WhiteDonjek,2011,748.0881487,1643.823211,1998.990534,2376.364188,3550.35701,700.5672153
Pelly,2011,5567.13946,6428.557367,6991.781267,7814.87297,8891.831722,831.1730655
Stewart,2011,2599.178095,2685.021358,2731.381891,2776.756424,2861.622941,65.61121151
Carmacks,2011,10324.89315,11833.81411,12632.21298,13431.66302,14942.29174,1154.349647
Teslin,2011,5048.986115,6939.385824,7873.93506,8750.130738,10293.625,1311.159722
MiddleMainstem,2011,10043.85743,10248.32216,10352.75271,10456.19834,10652.42198,152.1411369
UpperLakesAndMainstem,2011,5135.948578,5265.536214,5334.553515,5404.38357,5532.515121,99.14163575
LowerMainstem,2012,7146.839409,7602.071721,7834.622984,8066.235612,8511.154038,341.0786573
WhiteDonjek,2012,664.2865969,1218.893321,1526.586237,1829.571307,2396.138362,432.9629414
Pelly,2012,2655.99186,3658.804781,4175.149766,4686.086228,5637.50596,745.3785249
Stewart,2012,1884.495148,2051.53929,2138.95696,2226.84363,2395.715596,127.805112
Carmacks,2012,5181.638741,5672.425833,5927.816235,6180.906599,6676.141413,373.6256679
Teslin,2012,2625.58113,3382.202456,3768.273866,4158.942194,4890.766542,566.296353
MiddleMainstem,2012,6782.178901,6983.375308,7090.125176,7192.653218,7389.936381,151.9393701
UpperLakesAndMainstem,2012,2175.525148,2278.24081,2332.19381,2385.002224,2487.524613,77.99986619
LowerMainstem,2013,115.5636277,713.1503322,1163.822243,1630.481709,2580.486283,616.2306638
WhiteDonjek,2013,87.44213517,408.5017223,612.1000281,833.2267896,1313.729758,306.5719057
Pelly,2013,2671.27511,3250.697263,3560.176146,3869.635299,4478.1352,451.7150225
Stewart,2013,229.4609321,304.2458883,344.1809146,382.8440838,459.1158596,57.41373189
Carmacks,2013,6458.749693,6766.464629,6925.552109,7084.630114,7381.895056,230.7863408
Teslin,2013,8799.725949,9782.740915,10327.88325,10858.88756,11832.20633,758.1200944
MiddleMainstem,2013,5323.324252,5497.888482,5587.324785,5675.732811,5850.594091,131.8174597
UpperLakesAndMainstem,2013,2188.972799,2261.650133,2300.224209,2339.066948,2413.029622,56.01420595
LowerMainstem,2014,759.1627759,1412.412891,1893.078498,2316.293432,2964.511234,551.3371146
WhiteDonjek,2014,1481.168406,2358.591921,7670.415909,8111.417093,8784.341942,1825.793384
Pelly,2014,6714.297771,7685.603718,10201.83844,11667.32538,12416.65301,1425.588811
Stewart,2014,4573.05446,4770.875709,4901.389026,5576.811923,5879.01699,326.4906325
Carmacks,2014,9190.074136,9970.591298,11257.27476,13095.10802,13882.77495,1173.175204
Teslin,2014,4576.06277,5422.3392,5841.472394,6261.646068,7034.243659,614.5452225
MiddleMainstem,2014,14057.53654,14902.53905,17350.08959,17717.71655,18161.96181,1026.106318
UpperLakesAndMainstem,2014,6041.55806,6331.261177,7129.736662,7238.65893,7396.998183,338.8600308
LowerMainstem,2015,10964.9742,11726.61152,12117.36435,12513.12787,13262.74485,574.4426637
WhiteDonjek,2015,5293.429631,6276.912237,6796.247051,7286.696832,8289.549354,749.0299306
Pelly,2015,11534.03286,12319.5182,12734.96035,13153.40854,13936.79818,600.6913302
Stewart,2015,3738.220503,3886.188373,3964.369715,4041.417495,4183.569216,111.3371782
Carmacks,2015,18820.84425,19193.52145,19405.37875,19608.95025,19996.18254,293.834573
Teslin,2015,4708.988041,5377.38016,5718.974145,6068.621583,6730.710605,505.4306411
MiddleMainstem,2015,17973.90739,18295.78164,18465.08983,18633.12083,18958.57036,246.1657416
UpperLakesAndMainstem,2015,4789.288175,4922.259218,4998.751952,5072.724094,5213.228265,105.9850224
LowerMainstem,2016,8784.769569,10762.30015,15903.62965,16896.73718,18323.48499,2384.678856
WhiteDonjek,2016,9052.914303,9660.232375,10067.94901,16696.62695,18828.92054,2444.001559
