"","region","cu_name_dfo","cu_index","species_abbr"
"158","Central Coast","Price Creek (Sockeye-Lake)","SEL-19-48","SEL"
"159","Central Coast","Roderick (Sockeye-Lake)","SEL-19-50","SEL"
"160","Central Coast","Ryan Creek (Sockeye-Lake)","SEL-19-51","SEL"
"161","Central Coast","Salter (Sockeye-Lake)","SEL-19-52","SEL"
"162","Central Coast","Scoular/Kilpatrick (Sockeye-Lake)","SEL-19-53","SEL"
"163","Central Coast","Sheneeza Inlet (Sockeye-Lake)","SEL-19-55","SEL"
"164","Central Coast","Ship Point Creek (Sockeye-Lake)","SEL-19-56","SEL"
"165","Central Coast","Spencer Creek (Sockeye-Lake)","SEL-19-57","SEL"
"166","Central Coast","Stannard Creek (Sockeye-Lake)","SEL-19-58","SEL"
"167","Central Coast","Talamoosa Creek (Sockeye-Lake)","SEL-19-59","SEL"
"168","Central Coast","Tankeeah River (Sockeye-Lake)","SEL-19-60","SEL"
"169","Central Coast","Treneman Creek (Sockeye-Lake)","SEL-19-61","SEL"
"170","Central Coast","Tsimtack/Moore/Roger (Sockeye-Lake)","SEL-19-62","SEL"
"171","Central Coast","Tuno Creek East (Sockeye-Lake)","SEL-19-63","SEL"
"172","Central Coast","Tuno Creek West (Sockeye-Lake)","SEL-19-64","SEL"
"173","Central Coast","Tyler Creek (Sockeye-Lake)","SEL-19-65","SEL"
"174","Central Coast","Wale Creek (Sockeye-Lake)","SEL-19-66","SEL"
"175","Central Coast","Watt Bay (Sockeye-Lake)","SEL-19-67","SEL"
"176","Central Coast","West Creek (Sockeye-Lake)","SEL-19-68","SEL"
"177","Central Coast","Yaaklele Lagoon (Sockeye-Lake)","SEL-19-69","SEL"
"178","Central Coast","Yeo (Sockeye-Lake)","SEL-19-70","SEL"
"179","Central Coast","Rivers-Smith Inlets (Sockeye-River)","SER-12","SER"
"180","Central Coast","Northern Coastal Fjords (Sockeye-River)","SER-16","SER"
"181","Central Coast","Northn Coastal Streams (Sockeye-River)","SER-17","SER"
"182","Central Coast","Homathko-Klinaklini-Smith-Rivers-Bella Coola-Dean (Pink-Odd Year)","PKO-8","PKO"
"183","Central Coast","Hecate Strait-Lowlands (Pink-Odd Year)","PKO-12","PKO"
"184","Central Coast","Hecate Strait-Fjords (Pink-Odd Year)","PKO-13","PKO"
"185","Central Coast","Hecate Lowlands (Pink-Even Year)","PKE-5","PKE"
"186","Central Coast","Hecate Strait-Fjords (Pink-Even Year)","PKE-6","PKE"
