"region","species","year","spawners","smoothedSpawners","expansion_factor1","expansion_factor2"
"Nass","Sockeye",2008,168091.147339599,152191.77716423,1,1.09311223257398
"Nass","Sockeye",2009,194265.719748583,159196.324139039,1,1.09311223257398
"Nass","Sockeye",2010,176202.040105298,162462.560700272,1,1.09311223257398
"Nass","Sockeye",2011,196011.419984003,168874.038955451,1,1.09311223257398
"Nass","Sockeye",2012,166497.389704506,179774.524989599,1,1.09311223257398
"Nass","Sockeye",2013,197209.470990904,185611.437926524,1,1.09311223257398
"Nass","Sockeye",2014,166604.514703298,179996.000038238,1,1.09311223257398
"Nass","Sockeye",2015,225029.177309912,189020.293899028,1,1.09311223257398
"Nass","Sockeye",2016,129116.230687173,173879.477683476,1,1.09311223257398
"Nass","Sockeye",2017,135902.271426993,166959.903176948,1,1.09311223257398
"Nass","Sockeye",2018,122033.956532327,151678.061287403,1,1.09311223257398
"Nass","Sockeye",2019,123528.240954255,142869.217873242,1,1.09311223257398
"Nass","Sockeye",2020,NA,127530.37182867,NA,1.09311223257398
"Nass","Sockeye",2021,308644.611316194,158574.405129261,1,1.09311223257398
"Skeena","Chinook",1950,66098.7851554686,66098.7851554686,1.2174021435648,1.27154443186464
"Skeena","Chinook",1951,16872.9919951899,33395.8720925206,1.2174021435648,1.27154443186464
"Skeena","Chinook",1952,31769.3754553398,32844.6585817338,1.28127551068771,1.27154443186464
"Skeena","Chinook",1953,33900.7820820788,33105.5641575008,1.2174021435648,1.27154443186464
"Skeena","Chinook",1954,41546.1628788195,34643.9161198311,1.08912599611625,1.27154443186464
"Skeena","Chinook",1955,52800.5847580563,37164.555031465,1.07160685977258,1.27154443186464
"Skeena","Chinook",1956,55019.1047376302,36045.3248916931,1.02656014659573,1.27154443186464
"Skeena","Chinook",1957,55998.0923664137,44022.9491437677,1.02656014659573,1.27154443186464
"Skeena","Chinook",1958,55345.4339472247,48290.086832466,1.02656014659573,1.27154443186464
"Skeena","Chinook",1959,119695.626821429,59589.4550781868,1.02906859535592,1.27154443186464
"Skeena","Chinook",1960,33528.7802880866,57497.7106821915,1.1745455645073,1.27154443186464
"Skeena","Chinook",1961,14456.3839850357,46332.675247177,1.02656014659573,1.27154443186464
"Skeena","Chinook",1962,22940.9434344923,40047.0321282452,1.02656014659573,1.27154443186464
"Skeena","Chinook",1963,27696.3786020911,35613.2789944184,1.28127551068771,1.27154443186464
"Skeena","Chinook",1964,19135.9053781383,29835.9473173303,1.06544004999289,1.27154443186464
"Skeena","Chinook",1965,10840.6504029669,19994.1374922384,1.0271779935157,1.27154443186464
"Skeena","Chinook",1966,11021.6430035972,16610.1710612954,1.00789745419101,1.27154443186464
"Skeena","Chinook",1967,29658.2101880253,18723.5552113169,1.22922564914219,1.27154443186464
"Skeena","Chinook",1968,21178.2151900516,18475.7181952552,1.00789745419101,1.27154443186464
"Skeena","Chinook",1969,20315.5641903532,17545.6305158965,1.02089953371967,1.27154443186464
"Skeena","Chinook",1970,10774.388676034,15943.8396074105,1.02089953371967,1.27154443186464
"Skeena","Chinook",1971,8554.58919174552,15326.7551700452,1.00789745419101,1.27154443186464
"Skeena","Chinook",1972,17621.8129417979,16573.628296347,1.00789745419101,1.27154443186464
"Skeena","Chinook",1973,34172.9857706741,16969.6906615135,1.02089953371967,1.27154443186464
"Skeena","Chinook",1974,23658.220918159,17285.7958687976,1.02089953371967,1.27154443186464
"Skeena","Chinook",1975,11630.3965415866,15751.321130951,1.00789745419101,1.27154443186464
"Skeena","Chinook",1976,6401.52404685676,14442.1585877284,1.00789745419101,1.27154443186464
"Skeena","Chinook",1977,14417.8469523801,15754.9000268949,1.00789745419101,1.27154443186464
