"region","species","type","current_status","short_trend","short_trend_cat","long_trend","long_trend_cat","current_abundance","current_abundance_year","average_abundance","previous_gen_abundance","gen_length","regionspecies","nyears","rangeyears"
"Central Coast","Coho","Spawners",-0.0913344124411625,-0.0429717535459605,"arrow-down",-0.00417134950258291,"arrow-down",148662.27158515,2024,163605.041965479,105965.687905381,4,"Central Coast Coho",75,"1950-2024"
"Central Coast","Coho","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,4,NA,NA,NA
"Central Coast","Pink","Spawners",0.36818853392571,0.19680217856666,"arrows-left-right",0.00629300094960938,"arrow-up",2974557.63735793,2024,2174084.61158719,1714315.0979437,2,"Central Coast Pink",75,"1950-2024"
"Central Coast","Pink","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,2,NA,NA,NA
"Central Coast","Sockeye","Spawners",-0.387648408779395,0.0106360510963572,"arrows-left-right",-0.0162962903211219,"arrow-down",245201.905000951,2024,400426.664217836,267616.919877275,5,"Central Coast Sockeye",75,"1950-2024"
"Central Coast","Sockeye","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,5,NA,NA,NA
"Central Coast","Steelhead","Spawners",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"Central Coast","Steelhead","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"East Vancouver Island & Mainland Inlets","Chinook","Spawners",2.78933455440452,0.129178002778208,"arrow-up",0.0152377150356175,"arrow-up",30432.1159931721,2025,8030.99213232556,18126.0880897933,4,"East Vancouver Island & Mainland Inlets Chinook",47,"1979-2025"
"East Vancouver Island & Mainland Inlets","Chinook","Run Size",2.5983613894681,0.128009785551494,"arrow-up",0.0171964407688736,"arrow-up",34516.9864918417,2025,9592.41798026961,20458.9069873327,4,"East Vancouver Island & Mainland Inlets Chinook",51,"1975-2025"
"East Vancouver Island & Mainland Inlets","Chum","Spawners",-0.492255238533283,-0.113943469467901,"arrow-down",0.00548181091613964,"arrow-up",418121.291282613,2024,823487.159325466,704910.436742818,4,"East Vancouver Island & Mainland Inlets Chum",72,"1953-2024"
"East Vancouver Island & Mainland Inlets","Chum","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,4,NA,NA,NA
"East Vancouver Island & Mainland Inlets","Coho","Spawners",0.32946909863013,0.0217674448938918,"arrows-left-right",-0.00365478041436351,"arrow-down",354988.546802,2024,267015.267348279,239721.92096906,4,"East Vancouver Island & Mainland Inlets Coho",72,"1953-2024"
"East Vancouver Island & Mainland Inlets","Coho","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,4,NA,NA,NA
"East Vancouver Island & Mainland Inlets","Pink","Spawners",2.79014658548853,0.325737347645179,"arrow-up",0.0202976921646119,"arrow-up",4209334.69487463,2024,1110599.44514839,2340091.20384644,2,"East Vancouver Island & Mainland Inlets Pink",72,"1953-2024"
"East Vancouver Island & Mainland Inlets","Pink","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,2,NA,NA,NA
"East Vancouver Island & Mainland Inlets","Sockeye","Spawners",-0.0955316601465091,0.00260452505351805,"arrows-left-right",-0.00964272976926051,"arrow-down",100154.376600171,2024,110732.87166292,102737.43645152,5,"East Vancouver Island & Mainland Inlets Sockeye",72,"1953-2024"
"East Vancouver Island & Mainland Inlets","Sockeye","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,5,NA,NA,NA
"East Vancouver Island & Mainland Inlets","Steelhead","Spawners",-0.440377673904461,-0.0440884090905295,"arrow-down",-0.0216744850850203,"arrow-down",731.109673572891,2024,1306.43407076664,1123.32699084751,5,"East Vancouver Island & Mainland Inlets Steelhead",49,"1976-2024"
"East Vancouver Island & Mainland Inlets","Steelhead","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,5,NA,NA,NA
"West Vancouver Island","Chinook","Spawners",0.526949623510265,0.0361359740401346,"arrow-up",0.0268493143348689,"arrow-up",19534.6966173735,2025,12793.2816620798,17794.5362172561,4,"West Vancouver Island Chinook",41,"1985-2025"
"West Vancouver Island","Chinook","Run Size",0.467094727983574,0.0686716048632789,"arrow-up",-0.000205373883430116,"arrows-left-right",355233.414607189,2023,242133.931661955,297638.093400404,4,"West Vancouver Island Chinook",39,"1985-2023"
"West Vancouver Island","Chum","Spawners",-0.410059718253478,-0.0790048759627112,"arrow-down",0.0056414222077128,"arrow-up",291696.405854305,2025,494450.734895972,343920.591897065,4,"West Vancouver Island Chum",73,"1953-2025"
"West Vancouver Island","Chum","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,4,NA,NA,NA
"West Vancouver Island","Coho","Spawners",-0.0343819598122252,-0.0411175204783919,"arrow-down",0.0031365792966338,"arrows-left-right",137373.24260031,2025,142264.577589702,163102.040968058,4,"West Vancouver Island Coho",73,"1953-2025"
"West Vancouver Island","Coho","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,4,NA,NA,NA
"West Vancouver Island","Pink","Spawners",-0.901781538604782,0.413115775762655,"arrow-up",-0.0867550573581951,"arrow-down",851.982018191737,2025,8674.35720422735,585.727851120609,2,"West Vancouver Island Pink",73,"1953-2025"
"West Vancouver Island","Pink","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,2,NA,NA,NA
"West Vancouver Island","Sockeye","Spawners",0.240219768488399,-0.0289809515287708,"arrows-left-right",0.00519003763045811,"arrow-up",496664.630964006,2025,400465.017235896,306240.597652864,5,"West Vancouver Island Sockeye",49,"1977-2025"
