"region","species","type","current_status","short_trend","short_trend_cat","long_trend","long_trend_cat","current_abundance","current_abundance_year","average_abundance","previous_gen_abundance","gen_length","regionspecies","nyears","rangeyears","status_offset_x","status_offset_y","region_label_offset_x","region_label_offset_y"
"Central Coast","Coho","Spawners",-9,-4.3,"arrow-down",-0.4,"arrow-down",148662,2024,163605,105966,4,"Central Coast Coho",75,"1950-2024",0,0,0,0
"Central Coast","Coho","Total return",NA,NA,"",NA,"",NA,NA,NA,NA,4,NA,NA,NA,0,0,0,0
"Central Coast","Pink","Spawners",37,19.7,"arrows-left-right",0.6,"arrow-up",2974558,2024,2174085,1714315,2,"Central Coast Pink",75,"1950-2024",0,0,0,0
"Central Coast","Pink","Total return",NA,NA,"",NA,"",NA,NA,NA,NA,2,NA,NA,NA,0,0,0,0
"Central Coast","Sockeye","Spawners",-39,1.1,"arrows-left-right",-1.6,"arrow-down",245202,2024,400427,267617,5,"Central Coast Sockeye",75,"1950-2024",0,0,0,0
"Central Coast","Sockeye","Total return",NA,NA,"",NA,"",NA,NA,NA,NA,5,NA,NA,NA,0,0,0,0
"Central Coast","Steelhead","Spawners",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"Central Coast","Steelhead","Total return",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"East Vancouver Island & Mainland Inlets","Chinook","Spawners",279,12.9,"arrow-up",1.5,"arrow-up",30432,2025,8031,18126,4,"East Vancouver Island & Mainland Inlets Chinook",47,"1979-2025",0,0,0,0
"East Vancouver Island & Mainland Inlets","Chinook","Total return",260,12.8,"arrow-up",1.7,"arrow-up",34517,2025,9592,20459,4,"East Vancouver Island & Mainland Inlets Chinook",51,"1975-2025",0,0,0,0
"East Vancouver Island & Mainland Inlets","Chum","Spawners",-49,-11.4,"arrow-down",0.5,"arrow-up",418121,2024,823487,704910,4,"East Vancouver Island & Mainland Inlets Chum",72,"1953-2024",0,0,0,0
"East Vancouver Island & Mainland Inlets","Chum","Total return",NA,NA,"",NA,"",NA,NA,NA,NA,4,NA,NA,NA,0,0,0,0
"East Vancouver Island & Mainland Inlets","Coho","Spawners",33,2.2,"arrows-left-right",-0.4,"arrow-down",354989,2024,267015,239722,4,"East Vancouver Island & Mainland Inlets Coho",72,"1953-2024",0,0,0,0
"East Vancouver Island & Mainland Inlets","Coho","Total return",NA,NA,"",NA,"",NA,NA,NA,NA,4,NA,NA,NA,0,0,0,0
"East Vancouver Island & Mainland Inlets","Pink","Spawners",279,32.6,"arrow-up",2,"arrow-up",4209335,2024,1110599,2340091,2,"East Vancouver Island & Mainland Inlets Pink",72,"1953-2024",0,0,0,0
"East Vancouver Island & Mainland Inlets","Pink","Total return",NA,NA,"",NA,"",NA,NA,NA,NA,2,NA,NA,NA,0,0,0,0
"East Vancouver Island & Mainland Inlets","Sockeye","Spawners",-10,0.3,"arrows-left-right",-1,"arrow-down",100154,2024,110733,102737,5,"East Vancouver Island & Mainland Inlets Sockeye",72,"1953-2024",0,0,0,0
"East Vancouver Island & Mainland Inlets","Sockeye","Total return",NA,NA,"",NA,"",NA,NA,NA,NA,5,NA,NA,NA,0,0,0,0
"East Vancouver Island & Mainland Inlets","Steelhead","Spawners",-44,-4.4,"arrow-down",-2.2,"arrow-down",731,2024,1306,1123,5,"East Vancouver Island & Mainland Inlets Steelhead",49,"1976-2024",1,0,0,0
"East Vancouver Island & Mainland Inlets","Steelhead","Total return",NA,NA,"",NA,"",NA,NA,NA,NA,5,NA,NA,NA,0,0,0,0
"West Vancouver Island","Chinook","Spawners",53,3.6,"arrow-up",2.7,"arrow-up",19535,2025,12793,17795,4,"West Vancouver Island Chinook",41,"1985-2025",0,0,0,0
"West Vancouver Island","Chinook","Total return",47,6.9,"arrow-up",0,"arrows-left-right",355233,2023,242134,297638,4,"West Vancouver Island Chinook",39,"1985-2023",0,0,0,-1
"West Vancouver Island","Chum","Spawners",-41,-7.9,"arrow-down",0.6,"arrow-up",291696,2025,494451,343921,4,"West Vancouver Island Chum",73,"1953-2025",0,0,0,0
"West Vancouver Island","Chum","Total return",NA,NA,"",NA,"",NA,NA,NA,NA,4,NA,NA,NA,0,0,0,0
"West Vancouver Island","Coho","Spawners",-3,-4.1,"arrow-down",0.3,"arrows-left-right",137373,2025,142265,163102,4,"West Vancouver Island Coho",73,"1953-2025",0,0,0,0
"West Vancouver Island","Coho","Total return",NA,NA,"",NA,"",NA,NA,NA,NA,4,NA,NA,NA,0,0,0,0
"West Vancouver Island","Pink","Spawners",-90,41.3,"arrow-up",-8.7,"arrow-down",852,2025,8674,586,2,"West Vancouver Island Pink",73,"1953-2025",0,0,0,-1
"West Vancouver Island","Pink","Total return",NA,NA,"",NA,"",NA,NA,NA,NA,2,NA,NA,NA,0,0,0,0
"West Vancouver Island","Sockeye","Spawners",24,-2.9,"arrows-left-right",0.5,"arrow-up",496665,2025,400465,306241,5,"West Vancouver Island Sockeye",49,"1977-2025",0,0,0,0
"West Vancouver Island","Sockeye","Total return",12,-3.8,"arrows-left-right",-0.9,"arrow-down",785232,2025,700427,445068,5,"West Vancouver Island Sockeye",49,"1977-2025",0,-1,0,-1
"West Vancouver Island","Steelhead","Spawners",-34,-5.9,"arrow-down",-0.7,"arrows-left-right",413,2024,631,416,5,"West Vancouver Island Steelhead",50,"1975-2024",0,0,0,0
"West Vancouver Island","Steelhead","Total return",NA,NA,"",NA,"",NA,NA,NA,NA,5,NA,NA,NA,0,0,0,0
"Fraser","Chinook","Spawners",60,2.5,"arrows-left-right",0.3,"arrows-left-right",368747,2025,230971,167916,5,"Fraser Chinook",42,"1984-2025",0,0,0,0
"Fraser","Chinook","Total return",51,2,"arrows-left-right",0.3,"arrows-left-right",403010,2025,266290,192231,5,"Fraser Chinook",42,"1984-2025",0,0,0,0
"Fraser","Chum","Spawners",-4,-3.9,"arrows-left-right",-3.4,"arrow-down",1088052,2025,1134196,508944,4,"Fraser Chum",30,"1996-2025",0,0,0,0
"Fraser","Chum","Total return",-10,-5.5,"arrow-down",-3.1,"arrow-down",1133166,2025,1258527,554698,4,"Fraser Chum",30,"1996-2025",0,0,0,0
"Fraser","Coho","Spawners",115,11.4,"arrow-up",-0.6,"arrows-left-right",86619,2025,40217,54640,4,"Fraser Coho",42,"1984-2025",0,0,0,0
"Fraser","Coho","Total return",51,9.9,"arrow-up",-3.8,"arrow-down",98599,2025,65234,64514,4,"Fraser Coho",42,"1984-2025",0,0,0,0
"Fraser","Pink","Spawners",273,22.6,"arrows-left-right",3.6,"arrow-up",17695303,2025,4739417,9542025,2,"Fraser Pink",34,"1959-2025",0,0,0,0
"Fraser","Pink","Total return",97,23.6,"arrows-left-right",1.2,"arrow-up",18909506,2025,9586594,10513292,2,"Fraser Pink",34,"1959-2025",0,0,0,0
"Fraser","Sockeye","Spawners",60,-4.8,"arrows-left-right",1,"arrow-up",1699036,2025,1059266,898601,4,"Fraser Sockeye",133,"1893-2025",1,0,0,0
"Fraser","Sockeye","Total return",-35,-7.4,"arrow-down",-0.1,"arrows-left-right",2957318,2025,4547181,1580923,4,"Fraser Sockeye",133,"1893-2025",0,0,0,0
"Fraser","Steelhead","Spawners",-81,-12.3,"arrow-down",-1.8,"arrow-down",271,2023,1452,672,5,"Fraser Steelhead",52,"1972-2023",0,0,0,0
"Fraser","Steelhead","Total return",NA,NA,"",NA,"",NA,NA,NA,NA,5,NA,NA,NA,0,0,0,0
"Columbia","Chinook","Spawners",-999999,10.9,"arrow-up",6.5,"arrow-up",33,2023,23,37,5,"Columbia Chinook",18,"2006-2023",0,0,0,0
"Columbia","Chinook","Total return",NA,NA,"",NA,"",NA,NA,NA,NA,5,NA,NA,NA,0,0,0,0
"Columbia","Sockeye","Spawners",187,-3.4,"arrow-down",2.5,"arrow-up",64656,2024,22538,44982,4,"Columbia Sockeye",64,"1961-2024",0,0,0,0
"Columbia","Sockeye","Total return",298,-5.5,"arrows-left-right",4.8,"arrow-up",267956,2023,67344,110511,4,"Columbia Sockeye",44,"1980-2023",0,0,0,0
"Columbia","Steelhead","Spawners",-999999,-15,"arrow-down",-13.8,"arrow-down",3,2025,18,16,5,"Columbia Steelhead",20,"2006-2025",0,0,0,0
"Columbia","Steelhead","Total return",NA,NA,"",NA,"",NA,NA,NA,NA,5,NA,NA,NA,0,0,0,0
