"region","species","type","current_status","short_trend","short_trend_cat","long_trend","long_trend_cat","current_abundance","current_abundance_year","average_abundance","previous_gen_abundance","gen_length","regionspecies","nyears","rangeyears","datasetversion"
"Skeena","Steelhead","Run Size",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,"20260910"
"Central Coast","Chinook","Spawners",0.0721019851554886,0.0200740888294899,"arrows-left-right",0.0109029211928018,"arrow-up",17899,2025,16696,18882,5,"Central Coast Chinook",51,"1975-2025","20260910"
"Central Coast","Chinook","Run Size",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,"20260910"
"Central Coast","Chum","Spawners",-0.283612506714819,-0.0816500216979711,"arrow-down",-0.00713713792341031,"arrow-down",432964,2024,604372,277568,4,"Central Coast Chum",75,"1950-2024","20260910"
"Central Coast","Chum","Run Size",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,"20260910"
"Central Coast","Coho","Spawners",-0.0129514100006775,-0.0349186321362971,"arrow-down",-0.00620495422899703,"arrow-down",188355,2024,190826,135050,4,"Central Coast Coho",75,"1950-2024","20260910"
"Central Coast","Coho","Run Size",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,"20260910"
"Central Coast","Pink","Spawners",1.1157878881739,0.248105863003217,"arrows-left-right",0.00946976747284056,"arrow-up",5433519,2024,2568083,2710272,2,"Central Coast Pink",75,"1950-2024","20260910"
"Central Coast","Pink","Run Size",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,"20260910"
"Central Coast","Sockeye","Spawners",0.0510928092692756,0.0570745288628327,"arrow-up",-0.0135027474325327,"arrow-down",492916,2024,468955,378763,5,"Central Coast Sockeye",75,"1950-2024","20260910"
"Central Coast","Sockeye","Run Size",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,"20260910"
"Central Coast","Steelhead","Spawners",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20260910"
"Central Coast","Steelhead","Run Size",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20260910"
"East Vancouver Island & Mainland Inlets","Chinook","Spawners",2.78933256297285,0.129178111485362,"arrow-up",0.0152376944273509,"arrow-up",30432,2025,8031,18126,4,"East Vancouver Island & Mainland Inlets Chinook",47,"1979-2025","20260910"
"East Vancouver Island & Mainland Inlets","Chinook","Run Size",2.59836279768012,0.128009351030388,"arrow-up",0.0171964459507006,"arrow-up",34517,2025,9592,20459,4,"East Vancouver Island & Mainland Inlets Chinook",51,"1975-2025","20260910"
"East Vancouver Island & Mainland Inlets","Chum","Spawners",-0.492255256085136,-0.113943474525251,"arrow-down",0.00548181070416942,"arrow-up",418121,2024,823487,704910,4,"East Vancouver Island & Mainland Inlets Chum",72,"1953-2024","20260910"
"East Vancouver Island & Mainland Inlets","Chum","Run Size",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,"20260910"
"East Vancouver Island & Mainland Inlets","Coho","Spawners",0.161725021084837,0.000960639495578786,"arrows-left-right",-0.00444461262905005,"arrow-down",307337,2024,264553,220956,4,"East Vancouver Island & Mainland Inlets Coho",72,"1953-2024","20260910"
"East Vancouver Island & Mainland Inlets","Coho","Run Size",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,"20260910"
"East Vancouver Island & Mainland Inlets","Pink","Spawners",2.69385885122986,0.325572836093434,"arrow-up",0.0203334872741125,"arrow-up",4174842,2024,1130212,2439691,2,"East Vancouver Island & Mainland Inlets Pink",72,"1953-2024","20260910"
"East Vancouver Island & Mainland Inlets","Pink","Run Size",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,"20260910"
"East Vancouver Island & Mainland Inlets","Sockeye","Spawners",-0.0955302639885857,0.0026045247924773,"arrows-left-right",-0.00964273073939581,"arrow-down",100162,2024,110741,102746,5,"East Vancouver Island & Mainland Inlets Sockeye",72,"1953-2024","20260910"
